id,texto,author_id,sentimento
"1,63920461021174E+018",@SantaCruzFC Excelente goleiro que garantiu o titulo de empate e quase gol no sport,,pos
"1,63920402940131E+018","RT @CobraCoral1914: FELIPE CONCEIÇÃO NÃO 
FELIPE CONCEIÇÃO NÃO 
FELIPE CONCEIÇÃO NÃO 
FELIPE CONCEIÇÃO NÃO 
@SantaCruzFC",,neg
"1,63920398488713E+018","RT @DiogoDK19: Alô @CavalinCoral eu fiz esse vídeo ai, mas tive que parar pq já estava dando dor de cabeça de vê tantas coisas do @SantaCru…",,neu
"1,63919941144726E+018",@SantaCruzFC cade o departamento de marketing porra daq a pouco falta 24 hrs pro jogo e nada do preço dos ingressos,,neg
"1,63919710024331E+018",@futnostalgico @SantaCruzFC O goleiro era pegador de pênaltis,,neu
"1,63919671104528E+018",RT @SantaCruzFC: Renovado! O goleiro Michael renovou seu contrato com o Santa Cruz e vai defender o tricolor até o fim do estadual de 2024.…,,neu
"1,63919597250796E+018",@NE45Minutos @SantaCruzFC @nauticope @sampaiocorrea @SantaCruzFC vai te f...,,pos
"1,6391938038389E+018","Sou a favor de uma SAF num Clube mais que não mudem uma história de mais de 100 Anos. Entendo que o Patrimônio do clube deve ser melhorado com Reformas, mais as Corese, o Mascote e o Escudo devem ser respeitados. ""No @SantaCruzFC acontecendo isso a Torcida logo muda de opinião."" https://t.co/s8ZaL3w0bH",,pos
"1,63919324199936E+018","RT @tiaprinotwiter: @amoracamisape resumiu em imagens meus dois sentimentos no segundo tempo de @SantaCruzFC contra fortaleza ontem, fui da…",,pos
"1,6391930682463E+018",RT @SantaCruzFC: Renovado! O goleiro Michael renovou seu contrato com o Santa Cruz e vai defender o tricolor até o fim do estadual de 2024.…,,neu
"1,63918753578733E+018",@NE45Minutos @SantaCruzFC @nauticope @sampaiocorrea Já vejo Felipe se arrepender.,,neg
"1,63917490437636E+018","@SantaCruzFC ALN - já deve estar bem longe em nome de Jesus!!!

#ForaALN",,neg
"1,63915688394792E+018","@SantaCruzFC Ou seja, renovação pra pagar as férias",,neg
"1,63915147676026E+018",@SantaCruzFC Coitado desse cara,,neg
"1,63914881520986E+018","@Squid_2022 @joaoguilherm @FortalezaEC @SantaCruzFC Sport esta prateleiras abaixo, nao se compara um time que está na elite dando exemplos, com um time que esta na B, em recuperação judicial e recebendo solicitações de saída de seus jogadores como ajul e juba, so pq está em boa fase no nordestao",,pos
"1,63913479081204E+018",@SantaCruzFC já tava em tempo!,,neu
