id,texto,author_id,sentimento
"1,63908126931616E+018","RT @xfabiosouza: resolvi que vou relatar aqui o processo e o que estou fazendo para ajudar, quem sabe não ajuda outras pessoas, né?

hj eu…",,pos
"1,63903756119151E+018","resolvi que vou relatar aqui o processo e o que estou fazendo para ajudar, quem sabe não ajuda outras pessoas, né?

hj eu consegui ficar a tarde toda sem tocar no celular, eu segui uma dica que escutei no podcast do @mimimidias de desativar as notificações de aplicativos que+",,pos
"1,63815666452737E+018","@darkgaladriel_ @mimimidias é uma mulé e um omi, mas sempre recomendo e a @claramatheus é incrível tbm.",,pos
"1,63805225435893E+018","@PauloArana @mimimidias O oposto: quando citam não há relação direta com o tema, e quando há, é para acusar a banda de ser ""mainstream"" no gênero

Sério, eu que não sou da cena BM estou revoltado e com uma vergonha alheia do caralho dos brasileigos, pqp

Até gente da esquerda e underground metendo essa",,neg
"1,63805043165282E+018","@PauloArana @mimimidias Se alguém me dissesse que lançaram um livro de 500 páginas sobre toda a cena de nazismo/fascismo no Neo Folk, e nele não há sequer uma paginazinha sobre o Death in June, basicamente pais da porra toda, eu nem saberia o que dizer. Esse é um cenário impossível e inimaginável",,neg
"1,63804784576374E+018","@PauloArana @mimimidias ... em um livro focado no NSBM, deveríamos ter ao menos um capítulo sobre a influência política nazi-fascista/supremacista/racistado Mayhem na cena, sendo eles uma banda CLÁSSICA e SEMINAL no gênero. Ok ? 

Mas o que temos é exatamente o oposto disso: https://t.co/dgEHvhBAsy",,neg
"1,63804607352761E+018","@PauloArana @mimimidias Se no Lord of Chaos não há acusações da banda ser ao menos simpática ao nazismo, e não vi nenhuma outra fonte, artigo, livro ou estudo documentando e evidenciando isso de forma ao menos que mereça atenção (meia dúzia de episódios soltos de décadas atrás em 40 FUCKING ANOS)....",,neg
"1,63803033888138E+018","@PauloArana @mimimidias Depois de um tempo lançaram esse livro aqui que aborda mais diretamente os temas de nazismo e extremismo de direita no black metal, e achei bem decente https://t.co/3r4VNzgH3p",,pos
"1,63801732580585E+018","@PauloArana @mimimidias Sobre o Mayhem ser supostamente nazista ou supremacista ou fascista, whatever, e ter de alguma forma essas ideologias manifestas na sua música ? 

Também nada, duas ou três frases e alguns episódios em uma carreira de 40 anos, nada incomum no mundo da música extrema",,neg
"1,63801625814576E+018","@PauloArana @mimimidias Me perdi novamente, mas volto: 

Achei que Lords or Chaos trata superficialmente do tema de extremismo político de direita e sua influência e infiltração no black metal

Especificamente sobre nazismo e supremacismo há pouca coisa. E li uns 2 ou 3 que eram pobres no tema tb",,neg
