id,texto,author_id,sentimento
"1,63920251907854E+018","RT @CopaNordesteCBF: Ele é Cruel, não tem jeito...

O segundo do @nauticope, o segundo do Jael ⚽️⚽️

#NAUxFER #CopaDoNordeste https://t.co/…",,pos
"1,63919597250796E+018",@NE45Minutos @SantaCruzFC @nauticope @sampaiocorrea @SantaCruzFC vai te f...,,neg
"1,63919135076269E+018",@fascunhajr @nauticope @CopaNordesteCBF Mesmo com as duas de um lado continua sendo nada .,,neu
"1,63918753578733E+018",@NE45Minutos @SantaCruzFC @nauticope @sampaiocorrea Já vejo Felipe se arrepender.,,neg
"1,6391837804841E+018","RT @reporterantonio: Diante da crise de segurança pública em Natal, ficou definido na tarde de hoje que a partida do fim de semana entre AB…",,neg
"1,63918375775947E+018","RT @reporterantonio: E há precedente pra isso: contra o próprio @nauticope na Copa do Nordeste desse ano, o CRB conseguiu a liberação da to…",,neg
"1,63917289668044E+018",RT @nauticope: O CAPITA MANDOU O RECADO! Mais uma vitória e mais um vídeo de bastidores. Aqui é Náutico! Assista: https://t.co/VVpQV6woCG 🔥…,,pos
"1,63917251692426E+018","@joncavalcante_ @KaueSadeAndrade @JogoDireto_ @ocampo_fala @rodolphomn @nauticope @NauticoNET1998 @discutindoabase @DiarioTimba @Douglaspopoto @LISCADOIDO Ei, já viu essa notícia? 
 Aproveita seja nosso seguidor 
 @futebol_bot 
 
 https://t.co/J5Xv3t5mVh",,pos
"1,6391724844771E+018","@joncavalcante_ @KaueSadeAndrade @JogoDireto_ @ocampo_fala @rodolphomn @nauticope @NauticoNET1998 @discutindoabase @DiarioTimba @Douglaspopoto @LISCADOIDO Ei, já viu essa notícia? 
 Aproveita seja nosso seguidor 
 @TubeYouTrends 
 
 https://t.co/eTj8f09H8P",,pos
"1,63916268251424E+018","@nauticope Parabéns, agora eu ver nas quatro linhas.",,pos
"1,63914301681526E+018","@NE45Minutos @ABCFC @nauticope Duvido! O CNC vai recorrer ao STJD, e com certeza a partida haverá tbm presença da torcida alvirrubra!",,neg
"1,63914231775486E+018","RT @nauticope: 📢 Anota aí:

Enfrentaremos o ABC, no Frasqueirão, no domingo (26), às 15h30, pelas quartas de final da @CopaNordesteCBF. 👊🔴…",,pos
"1,63911430993756E+018",RT @nauticope: Depois foi a vez de Souza fazer o dele e sacramentar a classificação alvirrubra. https://t.co/vGhKDav492,,pos
"1,63911429564344E+018",RT @nauticope: O segundo foi a especialidade da casa: com assistência de Showza! E mais um de @Jael_Gol no jogo 👇 https://t.co/UHsrgidMKb,,pos
"1,63911424726627E+018","RT @nauticope: 📢 Anota aí:

Enfrentaremos o ABC, no Frasqueirão, no domingo (26), às 15h30, pelas quartas de final da @CopaNordesteCBF. 👊🔴…",,pos
"1,63911421410619E+018",RT @nauticope: Náutico entra com recurso no STJD contra torcida única em Natal-RN. Leia: https://t.co/5NnHM7SD5X https://t.co/Qr6cFXnu9I,,neg
"1,63911418404979E+018",RT @nauticope: O CAPITA MANDOU O RECADO! Mais uma vitória e mais um vídeo de bastidores. Aqui é Náutico! Assista: https://t.co/VVpQV6woCG 🔥…,,pos
"1,63911213827791E+018",RT @nauticope: O CAPITA MANDOU O RECADO! Mais uma vitória e mais um vídeo de bastidores. Aqui é Náutico! Assista: https://t.co/VVpQV6woCG 🔥…,,pos
"1,63911107923294E+018","@NE45Minutos @SantaCruzFC @nauticope @sampaiocorrea Projeto inauguração da série E! Agora vai!!
Da sono só em olhar pra ele. Parece sempre estar cansado",,neg
"1,63911004699401E+018",RT @nauticope: Náutico entra com recurso no STJD contra torcida única em Natal-RN. Leia: https://t.co/5NnHM7SD5X https://t.co/Qr6cFXnu9I,,neg
"1,63910888533095E+018",@nauticope @paulopaivafoto Não aceitem torcida única contra o abc,,neg
"1,63910816791649E+018",@nauticope @CopaNordesteCBF @Jael_Gol Joga fácil demais.,,pos
"1,63910584413346E+018","@GustavoAndrBra1 @CopaNordesteCBF @sportrecife @CRBoficial @ABCFC @nauticope @CearaSC @cssergipeofc @ferroviario Por incrível que pareça,sim. Não vi mais detalhes mas vi uma página do CRB postando.",,neu
"1,63909340297655E+018",RT @nauticope: O CAPITA MANDOU O RECADO! Mais uma vitória e mais um vídeo de bastidores. Aqui é Náutico! Assista: https://t.co/VVpQV6woCG 🔥…,,pos
"1,63909311413562E+018","@nauticope Certíssimo, está em seu pleno direito. Se fosse algum Clube do Eixo Sul/Sudeste o tratamento  seria o mesmo?.  Claro que não. É  Óbvio que não.",,neg
"1,63909218346169E+018",@nauticope Manda ver.,,pos
"1,63908957587943E+018",@nauticope União Maguary e Náutico sábado. 🙏🤣,,pos
"1,63908897484429E+018",RT @aristeusmaniott: @pm13oficial @sports_c2 @nauticope Volta pro Grêmio mito 🥊,,pos
"1,63908894165459E+018",@pm13oficial @sports_c2 @nauticope Volta pro Grêmio mito 🥊,,pos
"1,63908864563311E+018",RT @nauticope: O CAPITA MANDOU O RECADO! Mais uma vitória e mais um vídeo de bastidores. Aqui é Náutico! Assista: https://t.co/VVpQV6woCG 🔥…,,pos
