id,texto,author_id,sentimento
"1,63920244707913E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63919072467893E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63918899227601E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63916703032555E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63915613058774E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63913269950701E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63912911256777E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63912894150282E+018",RT @avoz_da_comunid: Acompanhe tudo no https://t.co/A7qfJXCveA @prefrecife @JoaoCampos https://t.co/sFLgkH4XQo,,neu
"1,63912889843176E+018",RT @avoz_da_comunid: Acompanhe tudo no https://t.co/A7qfJXD348 @prefrecife https://t.co/lHp5dXyjIO,,neu
"1,63912888855812E+018",RT @avoz_da_comunid: Acompanhe tudo no https://t.co/A7qfJXCveA @neoenergiape @NeoenergiaBR Protocolo do atendimento: 8117608932 via ocorrên…,,neu
"1,63912887532509E+018","RT @avoz_da_comunid: @prefrecife Então vamos atender essa demanda. A moradora Erenice informou que ""ligou dia 06/02/2023, às 11:10, protoco…",,neg
"1,63912852831776E+018","@prefrecife Então vamos atender essa demanda. A moradora Erenice informou que ""ligou dia 06/02/2023, às 11:10, protocolo n° 8008977823"" e até agora nenhuma equipe foi ao local para colocar lonas. Alô @JoaoCampos!",,neg
"1,63912741026309E+018",Acompanhe tudo no https://t.co/A7qfJXCveA @neoenergiape @NeoenergiaBR Protocolo do atendimento: 8117608932 via ocorrência 2023 0337202 @prefrecife https://t.co/D3vxZ6IZJv,,neg
"1,63912670260456E+018",Acompanhe tudo no https://t.co/A7qfJXD348 @prefrecife https://t.co/lHp5dXyjIO,,neu
"1,63912616595149E+018",Acompanhe tudo no https://t.co/A7qfJXCveA @prefrecife @JoaoCampos https://t.co/sFLgkH4XQo,,neu
"1,63912500496405E+018","RT @prefrecife: “O Carnaval baiano é uma eterna homenagem ao Carnaval do Recife”. ✨ Se tu tá dizendo, Caetano, quem é gente pra negar? Essa…",,pos
"1,63911818889724E+018","Alô @prefrecife, @JoaoCampos  01:11 da manhã isso é hora de fazer obra na rua, uma barulheira da porra!! https://t.co/FqxXtThCHP",,neg
"1,63911531831542E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63910071659684E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63909903104447E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63909867479276E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63908595258795E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63908240688271E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,6390819454213E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63908065464101E+018","@JoaoCampos @LulaOficial @prefrecife PCC &amp; CV &amp; Milicianos &amp; CorruPTos estão ""fodendo"", Lula a alma viva mais honesta competente só ficará bem quando ""foder."" Então, estamos ""fodidos"" ☹️",,neg
"1,6390798257083E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63907904800442E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63907661315221E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63907511032048E+018","@prefrecife Mentira: Está investindo em um bando de incompetente que não trabalha

202237616
Abertura: 13/09/2022 07:45
Porque a Ouvidoria e Emlurb não trabalham?
Tenham vergonha e parem de torrar nosso dinheiro com cargos de aparelhamento politico com gente incompetente que não faz nada",,neg
"1,63907497656439E+018","@prefrecife Mentira: Nesse balcão de empregos para incompetentes ninguém gosta de trabalhar

202237616
Abertura: 13/09/2022 07:45
Porque a Ouvidoria e Emlurb não trabalham?
Tenham vergonha e parem de torrar nosso dinheiro com gente incompetente que não faz nada",,neg
"1,63906854332387E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63906629757188E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,6390660015885E+018","@recifeordinario @netv1 @prefrecife 

A bandeira de Pernambuco vista por outra perspectiva https://t.co/5Cdss3MpDA",,pos
"1,63906356220647E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
