id,texto,author_id,sentimento
"1,63920123211064E+018","Tava escutando o Fala Ordinário do @recifeordinario, com o biólogo Andre Maia e @tubaratinado, sem arrodeio, vão direto na questão ambiental como causador principal dos ataques. Bem diferente do enquadramento visto nos 30 anos de factual que estou investigando.",,pos
"1,6391851778753E+018",@recifeordinario Recuperação judicial em clubes da capital virou moda. É um passo para a falência.,,neg
"1,63916999369789E+018","@recifeordinario Chacota política é danada, não? 
A piada seria o descaso intencional da autoridade ou o caos na vida das famílias que aguardam seus vencimentos?",,neg
"1,63915979332674E+018",@recifeordinario Saindo do aeroporto e enfrentando a feiura da av. Imbiribeira.,,neg
"1,63914392046978E+018",@ginacoeli___ @recifeordinario boy tu mora em santo amaro,,neu
"1,63913724916083E+018",RT @recifeordinario: 🚨FRED NICACIO E LARISSA VOLTAM PARA O BBB!!!,,pos
"1,6391257345422E+018",RT @recifeordinario: Subiram o @galodamadrugada!! E num é que ele tá lindo mesmo?😍😍 https://t.co/FtQZOSSq5U,,pos
"1,63911923579526E+018",@LaisaaSantoss @recifeordinario Também espero,,neu
"1,63911847117364E+018",@amandacosta1313 @recifeordinario Que tiração é essa ? Kkkkkkk,,pos
"1,63911585932628E+018",@recifeordinario Larissa passou nem 1 hr de volta e já to com ranço de novo…. Espero que vaze na terça,,neg
"1,63911429394895E+018","RT @recifeordinario: Eu qual lugar vocês ficam tristes só de chegar??

Eu começo: https://t.co/FG4Qycycte",,neg
"1,63910398065873E+018",@recifeordinario Só não reprove na prova prática. Pq é um inferno pra remarcar mesmo pagando.,,neg
"1,63910335728858E+018",@recifeordinario Quem não passou procura oriosvaldo despachante L4DRÃO,,neg
"1,63910229613389E+018","RT @recifeordinario: Olha quem acordou e já tá on lá em piedade? Uma raia, entra no mar, tabacudo!! https://t.co/4FMHB4QxDf",,neu
"1,63909914563699E+018",@recifeordinario Fred voltou e a 🐍 Key não kkkkkkkkkkkkkk,,pos
"1,63909889586195E+018",@recifeordinario a Bruna apagando todas as velas sempre,,neu
"1,63909888371526E+018",@recifeordinario Ninguém pediu https://t.co/z9KQlySyc3,,neg
"1,63909840102226E+018",@recifeordinario Vai arruinar o jogo da Domitila,,neu
"1,63909734084917E+018",@recifeordinario Vai ter fogo no parquinho 🔥,,pos
"1,63909723283723E+018",@recifeordinario Amei pela Lari,,pos
"1,63909713253882E+018",@recifeordinario Entrou pra sair de novo Larissa.,,neg
"1,63909709734441E+018",RT @recifeordinario: 🚨Vazou o estagiário dps do jogo do Santa!! https://t.co/urpFcMMqbM,,pos
"1,63909484117401E+018",@recifeordinario Paula,,neu
"1,63909483409387E+018",@recifeordinario O fortaleza se deu uma surra?,,pos
"1,63909140848833E+018","RT @recifeordinario: Enquanto uns tão tomando de 4, o Sport macetou lá em Alagoas https://t.co/ucq0tWq8Le",,pos
"1,63908820628403E+018",@recifeordinario Santinha...kk,,pos
"1,63907969175454E+018","RT @recifeordinario: Olha quem acordou e já tá on lá em piedade? Uma raia, entra no mar, tabacudo!! https://t.co/4FMHB4QxDf",,pos
"1,63907797171243E+018","@recifeordinario Meu amigo, é a Dr Jose Rufino. Dá uma sacada nisso ai. https://t.co/Nsnc7Nsk1K",,neu
"1,63907624862953E+018","RT @recifeordinario: QUEM ATRASA MAIS A FOLHA SALARIAL: o Santa Cruz ou o Governo de Pernambuco?

Deixe seus argumentos nos comentários! 😂…",,pos
"1,63907527063519E+018",@recifeordinario “maior do nordeste”,,neu
"1,6390744746822E+018","@recifeordinario Antônio de Goes.
Simplesmente Terrível...",,neg
"1,63907408668803E+018",@recifeordinario Fredão.,,neu
"1,63907298753299E+018",@recifeordinario Fred e infelizmente Key,,neg
"1,63907206151025E+018","RT @recifeordinario: Eu qual lugar vocês ficam tristes só de chegar??

Eu começo: https://t.co/FG4Qycycte",,neg
"1,63907005116368E+018",@recifeordinario VOLTA DO PAREDÃO FALSO O PYONG LEE,,neu
"1,63906836292688E+018",RT @recifeordinario: 🚨Vazou o estagiário dps do jogo do Santa!! https://t.co/urpFcMMqbM,,neu
"1,6390660015885E+018","@recifeordinario @netv1 @prefrecife 

A bandeira de Pernambuco vista por outra perspectiva https://t.co/5Cdss3MpDA",,pos
"1,63906423525368E+018",RT @recifeordinario: 🚨Vazou o estagiário dps do jogo do Santa!! https://t.co/urpFcMMqbM,,neu
"1,63906047286669E+018","RT @recifeordinario: Olha quem acordou e já tá on lá em piedade? Uma raia, entra no mar, tabacudo!! https://t.co/4FMHB4QxDf",,neu
"1,63905828468544E+018","RT @recifeordinario: Olha quem acordou e já tá on lá em piedade? Uma raia, entra no mar, tabacudo!! https://t.co/4FMHB4QxDf",,neu
"1,63905561950304E+018",Alguém me diz o que é isso! @recifeordinario #recife https://t.co/1xRwOCyDoV,,neu
"1,6390517942894E+018","RT @recifeordinario: É sempre bom lembrar da história de Domitila Barros, diretamente de Linha do Tiro - PE, para o mundo 🌍 https://t.co/pB…",,pos
"1,63904917759735E+018","RT @recifeordinario: Eu qual lugar vocês ficam tristes só de chegar??

Eu começo: https://t.co/FG4Qycycte",,neg
"1,63904756815494E+018","RT @recifeordinario: Olha quem acordou e já tá on lá em piedade? Uma raia, entra no mar, tabacudo!! https://t.co/4FMHB4QxDf",,neg
"1,63904507839092E+018",RT @recifeordinario: EU NÃO AGUENTO MAIS TORCER PRA ESSE TIME!! 4X0??????,,neg
"1,63904478830435E+018","RT @recifeordinario: QUEM ATRASA MAIS A FOLHA SALARIAL: o Santa Cruz ou o Governo de Pernambuco?

Deixe seus argumentos nos comentários! 😂…",,pos
"1,6390423157958E+018",@recifeordinario Quando chego na PE15,,neg
"1,63904008385583E+018",@malusantanaaaa @recifeordinario nao perguntei!!,,neg
"1,63904003409852E+018",Tá todo mundo gripado em Recife é?  Que gripe forte da bexiga. Tô com febre e muita moleza. Putzzzz @recifeordinario,,neg
"1,63903991568503E+018",@recifeordinario Naquela avenida Dois Rios que parece não ter fim?,,neu
"1,63903932925004E+018","RT @recifeordinario: QUEM ATRASA MAIS A FOLHA SALARIAL: o Santa Cruz ou o Governo de Pernambuco?

Deixe seus argumentos nos comentários! 😂…",,neg
"1,63903646582377E+018","RT @recifeordinario: QUEM ATRASA MAIS A FOLHA SALARIAL: o Santa Cruz ou o Governo de Pernambuco?

Deixe seus argumentos nos comentários! 😂…",,neg
"1,6390354265088E+018",@recifeordinario Diga isso não… o Santa tá pagando em dia.,,pos
"1,63903430690224E+018","RT @recifeordinario: Eu qual lugar vocês ficam tristes só de chegar??

Eu começo: https://t.co/FG4Qycycte",,neg
"1,63903364428609E+018",RT @recifeordinario: Campanha de prevenção aos ataques de tubarões na Grande Recife. Faça parte do “Pernas vivas” você também! 😍 https://t.…,,pos
"1,63903107841653E+018","@recifeordinario o mesmo, detalhe, eu moro ai kkkkkk",,pos
"1,63903087880541E+018","RT @recifeordinario: REPASSE A CORRENTE DE ORAÇÃO

              🕯     🕯     🕯
       🕯                            🕯
                    Do…",,pos
"1,63903066450577E+018",@recifeordinario Acabou o respeito,,pos
"1,63903060159547E+018",@recifeordinario Qual foi,,neg
