id,texto,author_id
1638793741539614721,"RT @ch_coach_: 【ASIA PACIFIC PRO LEAGUE INVITATIONAL】

💥Apac Northチーム⑨

Crazy Raccoon（@crazyraccoon406 ）

Ras（@Ras9915 ）
Parkha（@Parkha3072…",
1638793432968892416,"Live from #ETFSIConclave! 

Let's take in some nuggets of knowledge from our industry veteran, @Shuaifrankie, APAC Regional Information Security Officer, #DWSGroup 

Know more: https://t.co/aZqHsMo8O7             

#ETCIOSEA #ETCIO #Conclave #CIO #FSI  #informationtechnology https://t.co/N9pXIc7bGd",
1638793311103115265,"@yourfairysage If you passionate about gaming, wanna build with a team and willing to grind it out to build APAC esports tea. Anything is possible :)",
1638793073147924480,"Member company @pepsico has launched a programme to support startups with innovations for sustainable packaging and climate reduction in APAC, presenting opportunities for mentorship, partnership and funding. 

https://t.co/p7Jt2Fe9JN #pepsicopositive #pepsicoproud https://t.co/rDhF4dR63O",
1638792849293725696,".@Sprinklr Service is a comprehensive, AI-powered contact centre as a service (CCaaS) platform that enables agents to serve customers across digital, social and voice channels seamlessly. #technology #customerexperience #omnichannel https://t.co/de01PX6S34",
1638792832403275776,"John Mack's Advance Praise for UBS Chairman Kelleher: The retired Morgan Stanley heavyweight and former Co-CEO of Credit Suisse has mixed feelings about his former employer. Still, he is full of praise for UBS's current chairman,… https://t.co/L62GI5oyDE #johnmack #colmkelleher",
1638792761695432704,"Featured today in the @SCMPNews, @cedanestorovic #Geopolitcs Professor, and Academic Director of the ESSEC &amp; Mannheim EMBA APAC, shares his views on Chinese President Xi, Japan PM Kishida’s trips to opposing capitals in Ukraine: Read the full story here: https://t.co/jGW9gHrGrH",
1638791988828045312,"CyberE、eスポーツパブリックビューイングサービス「GG BASE」第二弾「Apex Legends Global Series Year3 Split 2 - APAC North」の放映決定！ https://t.co/yfRDtPrYAh @PRTIMES_JPより 

【eスポーツ×パブリックビューイング】
HUBテンポを利用
eスポーツを観る文化浸透に重要

#eスポーツ",
1638791839502196737,"RT @ETTelecom: For the keynote address we are excited to introduce Magnus Ewerbring, Chief Technology Officer - APAC, @ericsson to speak ab…",
1638791467349966851,"RT @Richard_v59: 📢Mastercard et Stables vont opérationnaliser les paiements en stablecoins dans la région APAC
https://t.co/y82yn5rRVE",
1638791457359421440,"Our @Ablett_Hitachi provides insights on data trends, the #DataInfrastructure market, #multicloud journeys of APAC organizations, key challenges and solutions for the #FSI sector, and Hitachi Vantara’s contributions to foster a #sustainable society. https://t.co/I3t1ZWqq37",
1638791124440449025,"RT @propeus00: MasterCard will allow stablecoin payments in APAC region

#BTC #ETH #BNB #Altcoin #Nft #Crypto #CryptoNews",
1638791011307778048,"For the keynote address we are excited to introduce Magnus Ewerbring, Chief Technology Officer - APAC, @ericsson to speak about Realizing the Potential of Digital India. We are so glad he could join us today at #ET5GCongress

Discover Now: https://t.co/jDKSwdnyCe https://t.co/KZ2iOs4Mpb",
1638790267947081728,RT @ItsAGhostShip: #zhangzhehan  ＃张哲瀚 at ERA APAC Centre in Toa Payoh. https://t.co/I1i4NT1D8e,
1638790245763219457,"RT @propeus00: MasterCard will allow stablecoin payments in APAC region

#BTC #ETH #BNB #Altcoin #Nft #Crypto #CryptoNews",
1638790177723412482,"#InsurTechs are using Big Data to improve the customer experience and make processes more efficient and accurate for (Re)Insurers and their stakeholders. This is creating value for everyone involved in the insurance industry.

Read the full article here - https://t.co/5beGK4Y0ub https://t.co/BLG569bAQI",
1638790010534268929,"RT @propeus00: MasterCard will allow stablecoin payments in APAC region

#BTC #ETH #BNB #Altcoin #Nft #Crypto #CryptoNews",
1638789946294296584,"RT @ch_coach_: 【ASIA PACIFIC PRO LEAGUE INVITATIONAL】

💥Apac Northチーム⑨

Crazy Raccoon（@crazyraccoon406 ）

Ras（@Ras9915 ）
Parkha（@Parkha3072…",
1638789865633624065,"Valorant account for sale 4500 php 
Rank: Plat 3
Region: APAC

Vandal: oni, gaia, ion, reaver
Phantom: reaver
Ghost: sovereign
Sheriff: sentinels of light
Classic: prime
Frenzy: ion
Spectre: ion
Ares: ion
Operator: forsaken
Knife: ion

TS IN Picture

Rfs: car upgrades https://t.co/sXMlZNX9lc",
1638789739280236546,"RT @adidasJP: 初のサッカー日本女子代表専用ユニフォーム登場。
再び、世界一を目指して。

@jfa_nadeshiko
#咲き誇れ #FWWC #なでしこジャパン

@maybe10_ @iho21m @9osaru @buchi_mana

👉 https://…",
1638789483415089152,"DEI is everyone's responsibility, regardless of function or position. Julie Nestor (@Mastercard), Abhijit Naik (@awscloud), Lisa Collins (@Accenture) sat with R3's Shufen Goh at @TheDrum APAC Trends Briefing to discuss how companies can make DEI relatable &amp; actionable for all. https://t.co/yLdtFHyRkc",
1638789352733179904,"RT @propeus00: MasterCard will allow stablecoin payments in APAC region

#BTC #ETH #BNB #Altcoin #Nft #Crypto #CryptoNews",
1638789343082061824,"Joel H. Rothstein of @GT_Law told a Japan-focused panel that he sees the country’s multi-family as an attractive asset class for a broad range of investors. 

Watch more: https://t.co/9VC5QBvk8a 
#APAC #Residential #RealEstate https://t.co/3GICenTODl",
1638788512517591042,"Live from #ETFSIConclave! 

Let's take in some nuggets of knowledge from our industry veteran, @SimonMolenberg, VP (APAC), Strategic Accounts, Field/Customer Operations &amp; Enablement, @DataStax

Know more: https://t.co/aZqHsMo8O7             

#ETCIOSEA #ETCIO #Conclave https://t.co/UDnOaK5Aor",
1638788146287525888,"RT @propeus00: MasterCard will allow stablecoin payments in APAC region

#BTC #ETH #BNB #Altcoin #Nft #Crypto #CryptoNews",
1638787455653654528,"As we celebrate #InternationalDataCenterDay, it's important to plan for the future of our digital infrastructure. Check out our latest report on the top 2023 #datacentertrends for insights on everything from #hybridinfrastructure to #dataprivacy 👉 https://t.co/D4gLCBETBs https://t.co/q6fr4zlsJY",
1638787287600320513,"RT @UyghurProject: ""It’s a miracle we survived and made it out of China to tell the world what is happening,"" write Gulbahar Haitiwaji and…",
1638787205949796355,"RT @nbstv: @OtwiiI: In March 2020, the Ministry of Agriculture, Animal Industry and Fisheries handed over the site of the proposed Aquacult…",
1638787191831683076,RT @nbstv: .@OtwiiI: The construction of the UGX 40 billion Aquapark Project in Apac district is yet to kick off two years later amidst cla…,
1638786308826071043,Claim free $Arbitrum Airdrop!🚀 @la_cara_rara @Gabgab101898 @maxsound1717 @mick178019 @a988663 @LNvsLN @MoonBaseDaily @TheGreatPonzi @dbalzotti @blockchain_apac @MATTHEWOLUWAS18 @Barrosadrian1 @Sanfordcsst @oaaaoai @Macias1112 https://t.co/PebZO4RTXo,
1638786270502731777,"RT @pvergadia: If you have not registered for @googlecloud tech series yet, do it now!! It’s next week &amp; we have lots of cool sessions on A…",
1638786255323533312,https://t.co/ixOCuqBgAF,
1638786128542048257,- APAC stocks traded mixed with price action choppy as markets digested the FOMC. US equity futures nursed some of the prior day's losses.,
1638786021742747648,"If you have not registered for @googlecloud tech series yet, do it now!! It’s next week &amp; we have lots of cool sessions on AI, ML, application development and more…along with 30 days free training!

😄 ofcourse there’s #genAI too!

Link: https://t.co/MobzVFCXuh https://t.co/vVVhqx7pPs",
1638785958379401219,"RT @nDekopon: 3/23(木) 04:00の締め切り時点で、ALGS SP2 CC1(APAC-North)登録チーム数は130。チェックインで激減しない限り、全4ラウンド。
SP1 CCとタイムテーブル変わらなければ以下の日程となる。

　3/25(土) 12:0…",
1638785784018006016,"&gt; @SimonMolenberg, Vice President (APAC) – Strategic Accounts, Field/Customer Operations and Enablement, @DataStax

&gt; @Yasminetaj, ET International (HR &amp; CIO) and Head of Branded Content, @EconomicTimes (Moderator)",
1638785671287705600,"#Cambodge 🇰🇭 La police a arrêté deux militants de l'opposition après qui ont publié des commentaires sur Facebook sur la façon dont le gouvernement du Premier ministre Hun Sen a traité le roi Norodom Sihamoni. 📝 @Diplomat_APAC 
 https://t.co/LlO5XFUczh",
1638785160530501640,"RT @GoldmanSachs: Following the Fed’s 25bps rate hike, our APAC Equity Strategist Sunil Koul shares the implications of the decision and wh…",
1638785074102677504,"RT @GoldmanSachs: Following the Fed’s 25bps rate hike, our APAC Equity Strategist Sunil Koul shares the implications of the decision and wh…",
1638784848365080576,"RT @rebootdude: 2 Chinese mentors in the APAC region. On the one thing on top of their do not do list in founder meetings.

In APAC, if you…",
1638784640876965888,"14K Peak Viewers on #VCT 2023: Game Changers APAC Open 1.
@TeamSMGofficial vs @teamrrqofficial is the most popular match of the event. @Fsl_GG 
More stats:
https://t.co/pETT9uQOz6 https://t.co/02Z61m1trJ",
1638784101976264708,"RT @owpathtopro: Overwatch Contenders Spring Series starts for Korea and APAC on March 22 at 5PM KST (1AM PT)! Say ""Hi!"" 👋 to our casters @…",
1638784012574654464,"RT @APACWrestling: Ramadan Kareem to our beloved APAC Army. 

Let's reflect on values of unity, compassion &amp; gratitude during this holy mon…",
1638783821071159297,"아마존리눅스 다음세대 한번 써보고싶다.. 근데 리눅스잘알은 아니라서 오 이게 좋아졌군요 이건 이렇군요 하면서 리뷰는 못함..😅
 https://t.co/xeYbmpptn1",
1638783653701623809,"RT @GoldmanSachs: Following the Fed’s 25bps rate hike, our APAC Equity Strategist Sunil Koul shares the implications of the decision and wh…",
1638783496792711169,"Following the Fed’s 25bps rate hike, our APAC Equity Strategist Sunil Koul shares the implications of the decision and why we think Asian equities will outperform the US’ this year on Bloomberg TV: https://t.co/E18J1ssklB",
1638782901834878976,"Apac Resources Intrinsic Value – APAC RESOURCES Reports Earnings Results for FY2023 Q2 on March 17, 2023 https://t.co/VNMdA3Y2fR",
1638782848172957696,RT @MonicaLongSF: No shortage of topics to dive into w/ @ArjunKharpal @SquawkBoxEurope live at #PBW2023 – Ripple’s continued hiring and tra…,
1638782692828549123,"Grab’s Ruby Pryor will be speaking at UX STRAT APAC (https://t.co/FLktp1zmI7) about “UX Research to Increase Your Strategic Impact.” 

Join us in Bangkok on April 20-21 to hear Ruby’s presentation!
#ux #strategy #design #innovation
#inperson #conference #bangkok https://t.co/fSmr7AB9G4",
1638782661648080896,"Plus, dive right in with us as we explore the exciting and fast-changing world of #generativeAI and large language models 💬 and how they are changing the way we interact with our devices.

Want us to count you in? 🙋‍♀️🙋‍♂️ Register now → https://t.co/4pBFWpmwTg https://t.co/mEXkAiQKV2",
1638782634775171073,"˗ˏˋ 忙しい日も、ゆったりしたひと時を🏝️ ˎˊ˗

リラックスしたフィット感のアイテムを身に着けたら、街中のオアシスで立ち止まって深呼吸しよう🍃

👉 https://t.co/kNRcsWfltm https://t.co/AZx7ROu84n",
1638782618551599105,"RT @ch_coach_: 【ASIA PACIFIC PRO LEAGUE INVITATIONAL】

💥Apac Northチーム⑨

Crazy Raccoon（@crazyraccoon406 ）

Ras（@Ras9915 ）
Parkha（@Parkha3072…",
1638782066384060419,"RT @ch_coach_: 【ASIA PACIFIC PRO LEAGUE INVITATIONAL】

💥Apac Northチーム⑨

Crazy Raccoon（@crazyraccoon406 ）

Ras（@Ras9915 ）
Parkha（@Parkha3072…",
1638781850712784897,"🎤 Meet @ericfudb, our speaker for the upcoming Singapore Meetup. 

Eric will share his insights on the architecture and design of a scalable real-time data pipeline based on #RisingWave and #TiDB (TiCDC). He is a highly experienced data engineer with a https://t.co/AV8bJ2PXBn… https://t.co/Fau2vnPrZs https://t.co/xfmzeS6p7f",
1638781504980680705,"RT @adidasJP: 初のサッカー日本女子代表専用ユニフォーム登場。
再び、世界一を目指して。

@jfa_nadeshiko
#咲き誇れ #FWWC #なでしこジャパン

@maybe10_ @iho21m @9osaru @buchi_mana

👉 https://…",
1638781121336057857,The latest The Morning Daily Tribune! https://t.co/nmyvim249I Thanks to @EURACTIV @Diplomat_APAC #maps #gis,
1638780648713342976,"RT @celebi_kahraman: Ramazan Geldi hoşgeldi 
Emekli Ramazana apaç geldi 

#SizeOyYokEmekliden",
1638780614450053121,"RT @celebi_kahraman: Ramazan Geldi hoşgeldi 
Emekli Ramazana apaç geldi 

#SizeOyYokEmekliden",
1638780552835903490,@epiphany86 APAC meetings. Smh,
1638780473282531329,"ALWAYS ORIGINAL CROPPED TEE - Black

🛒🛒 https://t.co/kSoIZqTR0E 🛒🛒

A Stylish, Sheer Top with an OVERSIZED FIT and eye-catching trefoil print. 

#adidascroppedtee #adidas https://t.co/DZOvqBelZE",
1638780455142178817,"Join us on 28 March for our virtual event, @Cloudera Now! See our hybrid open data #lakehouse, with Apache #Iceberg, #Nifi Data Flows, and the latest #ML features for your #AI needs! Mar 28, 2023 | 09:30 India | 12 PM SGT | 3PM AEDT https://t.co/odUHu2NOeW",
1638780260262252545,RT @RiotJaker: So proud to have represented VCT Pacific on behalf of the Riot Esports APAC team today. All of us are working really hard to…,
1638779929302269954,"RT @ch_coach_: 【ASIA PACIFIC PRO LEAGUE INVITATIONAL】

💥Apac Northチーム⑨

Crazy Raccoon（@crazyraccoon406 ）

Ras（@Ras9915 ）
Parkha（@Parkha3072…",
1638779599663550464,@_SimplySara They aren’t common but I do have a period of time where I work non-US hours or will have the occasional ad-hoc APAC meeting.,
1638778601201082369,"RT @adidasJP: ワクワクを、追いかける💫

アディダス x マリメッコの
最新コレクションが登場。
3月15日発売開始🌸
#adidasxmarimekko 
@marimekkojapan 

👉 https://t.co/QN4l64Wc2I https://t…",
1638778208593264641,"RT @adidasJP: 初のサッカー日本女子代表専用ユニフォーム登場。
再び、世界一を目指して。

@jfa_nadeshiko
#咲き誇れ #FWWC #なでしこジャパン

@maybe10_ @iho21m @9osaru @buchi_mana

👉 https://…",
1638777664663359488,"RT @exxonmobil_ind: Rakesh Mehta, who leads commercial activities for ExxonMobil Product Solutions in APAC, attended @iitbombay’s AZeotroph…",
1638777496601608193,"How the Indonesian Lion Air Crash Brought Down a US Legal Empire.  In early 2020, the families of the Lion Air crash victims won a multi-million dollar legal settlement in a U.S. court – but the promised money never arrived.
 @Diplomat_APAC https://t.co/iHvwL2j8uz",
1638777351440932864,"The panel discussion moderated by Dhaval Thanki, VP - of APAC, MEA and LogiNext, aims to discuss the ongoing and upcoming developments in the analytics field. 

#KJSomaiyaInstituteofManagement #MBAatSomaiya",
1638777151854870528,"RT @exxonmobil_ind: Rakesh Mehta, who leads commercial activities for ExxonMobil Product Solutions in APAC, attended @iitbombay’s AZeotroph…",
1638776963069276160,"Rakesh Mehta, who leads commercial activities for ExxonMobil Product Solutions in APAC, attended @iitbombay’s AZeotrophy symposium to discuss our role in advancing #sustainability and #energyefficiency. https://t.co/2EgKpX3cr8",
1638776607350595584,"Philippine President Ferdinand Marcos Jr. has defended his government’s decision to allow a larger U.S. military presence in the country, in the face of both Chinese and domestic political opposition.
@Diplomat_APAC https://t.co/hK1Ur17ag4",
1638776493189869568,"@OW_Chicharito Okay, I know which team I will sympathize in APAC since now",
1638775755864952834,"APAC Region Boost GDP Growth To 4.2% In 2023

News: https://t.co/G0l0j1sOXH

#APACRegion #GDP #GDPGrowth #globaleconomic #economic #APAC #GlobalMarketIntelligence #AsiaBusinessOutlook https://t.co/TNUJfKHOUy",
1638774746060935168,RT @ItsAGhostShip: #zhangzhehan  ＃张哲瀚 at ERA APAC Centre in Toa Payoh. https://t.co/I1i4NT1D8e,
1638774195101515776,"RT @ch_coach_: 【ASIA PACIFIC PRO LEAGUE INVITATIONAL】

💥Apac Northチーム⑨

Crazy Raccoon（@crazyraccoon406 ）

Ras（@Ras9915 ）
Parkha（@Parkha3072…",
1638773804335005696,"RT @AdelinaKamal: You’ve messed with the wrong generation 👇

Why Inclusion Matters for Myanmar’s Resistance @Diplomat_APAC https://t.co/4Sl…",
1638773293757898752,"RT @proofpoint: APAC community: Join us for #ProofpointPowerSeries: Protecting Sensitive Data on March 30, where our panel of security expe…",
1638773257364185090,"You’ve messed with the wrong generation 👇

Why Inclusion Matters for Myanmar’s Resistance @Diplomat_APAC https://t.co/4Sly0AbZxj",
1638773090355232770,"RT @FEBrandWagon: 'Deep analysis of your readers is fundamental', Sabrina Daryanani, head, APAC and principal consultant, FT Strategies

#I…",
1638773079479398400,RT @FEBrandWagon: 'We enable companies to build valuable recurring revenue relationships with their audiences and future-proof their bsuine…,
1638773064665006081,"RT @FEBrandWagon: 'For the FT, users stay core to decision making,' Sabrina Daryanani, head, APAC and principal consultant, FT Strategies h…",
1638773061016080384,RT @nbstv: .@OtwiiI: The construction of the UGX 40 billion Aquapark Project in Apac district is yet to kick off two years later amidst cla…,
1638773050551173121,"RT @FEBrandWagon: '38% of our revenue came from content,' Sabrina Daryanani, head, APAC and principal consultant, FT Strategies

#ISC2023…",
1638772901519454208,"RT @ch_coach_: 【ASIA PACIFIC PRO LEAGUE INVITATIONAL】

💥Apac Northチーム⑨

Crazy Raccoon（@crazyraccoon406 ）

Ras（@Ras9915 ）
Parkha（@Parkha3072…",
1638772681876328448,Cloud Technical Series APAC 2023 https://t.co/6mkYFU3FrX,
1638772578465480704,"RT @UrsBolt: #OpenBanking still in its infancy in APAC:

Open #banking is being approached by some embracing a regulator-driven strategy an…",
1638772274915602433,"RT @adidasJP: 初のサッカー日本女子代表専用ユニフォーム登場。
再び、世界一を目指して。

@jfa_nadeshiko
#咲き誇れ #FWWC #なでしこジャパン

@maybe10_ @iho21m @9osaru @buchi_mana

👉 https://…",
1638771816754987009,"'Deep analysis of your readers is fundamental', Sabrina Daryanani, head, APAC and principal consultant, FT Strategies

#ISC2023  #SubscriptionEconomy #subscriptions #subscriptionrevenue  #loyalconsumer https://t.co/MGycXAqTWg",
1638770556064636928,"'We enable companies to build valuable recurring revenue relationships with their audiences and future-proof their bsuiness, 'Sabrina Daryanani, head, APAC and principal consultant, FT Strategies

#ISC2023  #SubscriptionEconomy #subscriptions #subscriptionrevenue  #loyalconsumer https://t.co/yFPrj48vk9",
1638770350296276993,RT @GoogleCloud_IN: 💭 What's the latest and the greatest in tech around #AI and #ML? Join @pvergadia at the #GoogleCloudTechSeries to find…,
1638770310890528768,"RT @FEBrandWagon: 'Subscriptions business have grown 6x faster over the most few years', Sabrina Daryanani, head, APAC and principal consul…",
1638770158901809154,"RT @adidasJP: 初のサッカー日本女子代表専用ユニフォーム登場。
再び、世界一を目指して。

@jfa_nadeshiko
#咲き誇れ #FWWC #なでしこジャパン

@maybe10_ @iho21m @9osaru @buchi_mana

👉 https://…",
1638769985081479169,"'For the FT, users stay core to decision making,' Sabrina Daryanani, head, APAC and principal consultant, FT Strategies https://t.co/uNTejuhxra",
1638769870090436609,"📢 Announcing 2023 YouTube Device Partner Summit in Seoul, South Korea (Apr 27-28)! After success in SF, we're making it more accessible for APAC partners. Exclusive for Google/YouTube partners under NDAs. No invite? DM for info. 🤝 #YTDevicePartnerSummit2023 #Google #YouTube",
1638769831691386880,"RT @celebi_kahraman: Ramazan Geldi hoşgeldi 
Emekli Ramazana apaç geldi 

#SizeOyYokEmekliden",
1638769584479293440,"Varsity Group Asia Pacific chief executive Rushabh Desai, is expecting ESG-compliant rental apartments with higher levels of sustainability and efficiency to outperform in Japan.   
 
Watch more on MTD TV: https://t.co/9VC5QBvk8a 
#APAC #Residential #RealEstate https://t.co/YhiMZYxDbZ",
1638769383320309760,"@Diplomat_APAC JESUS appeared Crawley, England. JESUS leg's are bleeding. Angel appeared at Parliament, London. Angel appeared in Crawley. Messiah, Antichrist, Gog &amp; Magog are lies created by Jews &amp; Christians &amp; Muslims copied. Arshad mentioned in Koran 395 times. Rightly Guided https://t.co/V79vL2Xacz https://t.co/OoZBj2PkBI",
1638769381235892225,"'38% of our revenue came from content,' Sabrina Daryanani, head, APAC and principal consultant, FT Strategies

#ISC2023  #SubscriptionEconomy #subscriptions #subscriptionrevenue  #loyalconsumer https://t.co/gNCKbPqtyP",
1638769363728879618,"RT @adidasJP: 初のサッカー日本女子代表専用ユニフォーム登場。
再び、世界一を目指して。

@jfa_nadeshiko
#咲き誇れ #FWWC #なでしこジャパン

@maybe10_ @iho21m @9osaru @buchi_mana

👉 https://…",
