id,texto,author_id,sentimento
"1,63920427619386E+018","@aleshs simmm, eh tanto contrato PJ se disfarçando de CLT ale, tá bizarro
da muita pena de quem não reconhece esses direitos",,neg
"1,63920419143548E+018","RT @jairmearrependi: Esse é o Pedro Pascal da CLT

Compartilhe essa imagem pra você ganhar um emprego CLT https://t.co/SfWq2ZiIcD",,pos
"1,6392041083547E+018","RT @jairmearrependi: Esse é o Pedro Pascal da CLT

Compartilhe essa imagem pra você ganhar um emprego CLT https://t.co/SfWq2ZiIcD",,pos
"1,6392040009469E+018","RT @jairmearrependi: Esse é o Pedro Pascal da CLT

Compartilhe essa imagem pra você ganhar um emprego CLT https://t.co/SfWq2ZiIcD",,pos
"1,63920390887768E+018","RT @jairmearrependi: Esse é o Pedro Pascal da CLT

Compartilhe essa imagem pra você ganhar um emprego CLT https://t.co/SfWq2ZiIcD",,pos
"1,63920380277465E+018","RT @k8adev: Meus queridos, vocês são uns iludidos. A conta correta é:

CLT
27.5%

PJ
27.5% mesma regra do CLT sobre pró labore, se não tira…",,neu
"1,6392030462227E+018",@stormigabe Essa coisa de ser pj ter a obrigatoriedade de clt e não ter nenhum direito é a pior bosta que inventaram pro trabalhador pqp.,,neg
"1,6392028815836E+018","RT @jairmearrependi: Esse é o Pedro Pascal da CLT

Compartilhe essa imagem pra você ganhar um emprego CLT https://t.co/SfWq2ZiIcD",,pos
"1,63920279856583E+018","RT @PazuelloGeneral: Importante garantir a presença de médicos no interior do BR, assegurando os direitos e integridade dos profissionais.…",,pos
"1,63920275989016E+018","@stormigabe Se você é PJ, mas te cobram jornada de trabalho fixa como CLT  na prática você é CLT.",,neu
"1,63920254621972E+018","RT @jairmearrependi: Esse é o Pedro Pascal da CLT

Compartilhe essa imagem pra você ganhar um emprego CLT https://t.co/SfWq2ZiIcD",,pos
"1,63920245745148E+018","RT @Ideias_Radicais: Confessar pra vocês que eu já to na beira de virar aceleracionista mesmo.

Vai lá Lula taxa a Shein, demite o Campos,…",,neg
