id,texto,author_id,sentimento
"1,63919305089003E+018",Mais uma lenda folclórica: fila dupla p/ pegar brt camaragibe,,neg
"1,63911125445446E+018",RT @joaodenadegi: É tempo de trabalhar por Camaragibe e por Pernambuco! Voltei à Camará FM hoje para participar do programa do meu querido…,,pos
"1,63911122203643E+018","RT @joaodenadegi: Minha mãe, a sua vida merece ser muito celebrada. Você é um ser humano especial, que nos impulsiona e nos faz melhor a ca…",,pos
"1,63907041171855E+018",Estação barro. Este trem seguirá para Camaragibe. https://t.co/CMFrMK3f7z,,neu
"1,63906757895691E+018","que porra de catraca nova foi essa q botaram na plataforma de camaragibe. q judiação comigo, ainda tive q pagar passagem pq tinha um cara olhando a ""porta"" 👎",,neg
"1,63903194956917E+018","@fortalordinaria Aqui em Camaragibe não é novidade e isso atrapalha mt e pasmem, o povo ainda pula kkkkkk",,neg
"1,63902041677258E+018","Muito afim d jogar uma bola com uma blr dahora, alguém topa em criar um grupinho p jogar em alguma society por camaragibe?",,pos
"1,63901401784582E+018",tembici te desafio a colocar uma bike itau em camaragibe,,neu
"1,63901195259575E+018","Deve ser muito massa, ir de Recife-Camaragibe, todos os dias ao cair da tarde. Uma hora e cinquenta minutos, de viagem, numa média de quatro km/h.",,pos
"1,63899667978439E+018","nao vale pesquisar!
camaragibe pra voce é:",,neu
"1,63898469242161E+018",@iucllctr meu deus! eu sou de recife mas meu pai mora metade da semana lá em aldeia então eu tô toda semana em camaragibe 🥲 eu nunca fui pra petrolina vc acredita,,neg
"1,63898435701168E+018","@folklorethv13 souuu!! e vc cami? é de onde? eu nasci em recife, morei em limoeiro quando pequena até os 15, dps voltei pra recife, mudei pra camaragibe e atualmente moro em petrolina pq estudo na univasf kkkkk mas minha familia fica em camaragibe (eu tava lá até hj)",,pos
"1,63897617761111E+018",@joootinhaascr camaragibe conde da boa vista de q hrs?,,neu
"1,63897041124841E+018","@NeoenergiaBR COMPLEXA segue a situação da rede elétrica da Estrada de Aldeia, Camaragibe, Pernambuco e do Condomínio Prive Country Aldeia. 
A rede está tomada de vegetação.  Velha. Inapropriada para a ser usada numa Área de Proteção Ambiental. 
A rede oscila o tempo todo. 
Falta energia. https://t.co/Rig098ShPM",,neg
"1,63895574656519E+018","Depois de um ano recuperei meu celular na delegacia de Camaragibe através da ferramenta do Alerta Celular. Já estava desacreditado mas funcionou! Quem diria!?

Tá aí a importância de sempre fazer B.O. quando algo acontecer: Roubo, furto, extravio etc.",,pos
"1,63892919215376E+018",meu deus que inferno vir por Camaragibe,,neg
"1,63892684384683E+018","RT @moisespalma: @recifeordinario Pra mim é só num ponto que é ruim, ali entre Jaboatão, Camaragibe e Olinda, nessa triangulação na verdade.",,neg
"1,63890479216787E+018",td dia eu passando mal por algum ser humano mt lindo porém suburbano que eh obrigado a pegar o brt camaragibe,,pos
"1,6389030113123E+018",dormi no onibus e acordei em camaragibe,,neg
"1,6388590734613E+018","@recifeordinario Pra mim é só num ponto que é ruim, ali entre Jaboatão, Camaragibe e Olinda, nessa triangulação na verdade.",,neg
"1,6388264388109E+018","RT @Camaraordinario: Mermão, enterraram o Santinha no Cemitério de Camaragibe vei 😂 https://t.co/M7N0V749nF",,pos
"1,63872857200412E+018","RT @Camaraordinario: Mermão, enterraram o Santinha no Cemitério de Camaragibe vei 😂 https://t.co/M7N0V749nF",,pos
"1,63872803173578E+018","Mermão, enterraram o Santinha no Cemitério de Camaragibe vei 😂 https://t.co/M7N0V749nF",,pos
"1,63871010647171E+018","Hoje foi dia de faxina no meu escritório em Camaragibe, e que limpeza deliciosa",,pos
"1,63869966570424E+018","👊 É dessa disposição que o povo de #Camaragibe gosta. Prefeita @nadegi_queiroz e toda a nossa gestão segue comprometida em trazer melhorias para nossa cidade. 
Lutar pelo Mercado é mais um desafio que seguiremos trabalhando para que se torne realidade e mude a vida da população. https://t.co/3mlDASQn2R",,pos
"1,63869814776857E+018","@recifeordinario Final da caxangá, sentido camaragibe, até a UPA. O Próprio purgatório",,neg
"1,63869038900662E+018",ACONTECE: Cantora Nathy Lima agita Camaragibe em show gratuito: https://t.co/466hupQbFs,,neu
"1,63868764348235E+018","@Matheus_Gesse Misericredo, tinha q ser o povo de Camaragibe",,neg
"1,63867599777928E+018",E ontem cheguei em Camaragibe muito mais rápido! Vê que mizera,,pos
"1,63865389694701E+018","Primeira vez q pego o busão  t.i camaragibe/t.i Macaxeira na rural, para fazer retorno e chego na integração de camaragibe em menos de 1 hora.
Peguei era 17:32, na lafepe...
São 18:27, acabei de sair do t.i camaragibe e já estou noutro bus para chegar em casa",,pos
"1,6386367023894E+018","RT @ChicoMendon88: Deus abençoe grandemente o meu amado e querido Presidente BOLSONARO 🙌🙌🇧🇷🇮🇱🤝👍
Parabéns presidente pelo seu dia!
Feliz ani…",,neu
"1,63863617327793E+018",Muito humilde vem pra camaragibe https://t.co/W5jDqeRsnl,,pos
"1,63863516724066E+018",Barra do Camaragibe - AL 🐡 https://t.co/ZpySAbOjqb,,pos
"1,63863116081206E+018","RT @ChicoMendon88: Deus abençoe grandemente o meu amado e querido Presidente BOLSONARO 🙌🙌🇧🇷🇮🇱🤝👍
Parabéns presidente pelo seu dia!
Feliz ani…",,neu
"1,63863047752217E+018","RT @ChicoMendon88: Deus abençoe grandemente o meu amado e querido Presidente BOLSONARO 🙌🙌🇧🇷🇮🇱🤝👍
Parabéns presidente pelo seu dia!
Feliz ani…",,neu
"1,63862428052188E+018",Justiça Itinerante beneficia cerca de 100 pessoas em Passo do Camaragibe: https://t.co/tQlHUR2pzW https://t.co/GIERyNusvy,,pos
"1,63861740633444E+018",Como q eu vou pra camaragibe mds?,,neg
"1,63860931373525E+018","Eis q eu pego o metro jaboatão e venho parar em camaragibe, esse metrô cada dia melhor🫠",,neg
"1,63860900080243E+018","@NeoenergiaBR Sr. CEO da @NeoenergiaBR , Eduardo Capelastegui;do presidente executivo da @iberdrola, por favor, mande fazer um levantamento in loco da rede elétrica da Estrada de Aldeia, Camaragibe, Pernambuco  e do Condomínio Prive Country. 
Peça fotos e medições gráficas (Smart). SOCORRO. https://t.co/VbO9yKLh3L",,neg
"1,63860461692008E+018",Muito afim de ir em Camaragibe para o rodízio de petisco einnn,,pos
"1,6385932136436E+018",Amanha sem falta vou em camaragibe,,neu
"1,63858596645671E+018",@wedjoes Certeza que é moradora de alberto maia - camaragibe.,,pos
"1,63858592906449E+018","@NeoenergiaBR Sr. CEO da @NeoenergiaBR , Eduardo Capelastegui;do presidente executivo da @iberdrola, por favor, mande fazer um levantamento in loco da rede elétrica da Estrada de Aldeia, Camaragibe, Pernambuco  e do Condomínio Prive Country. 
Peça fotos e medições gráficas (Smart). SOCORRO.",,neg
"1,6385847692136E+018","@NeoenergiaBR Sr. CEO da @NeoenergiaBR , Eduardo Capelastegui;do presidente executivo da @iberdrola, por favor, mande fazer um levantamento in loco da rede elétrica da Estrada de Aldeia, Camaragibe, Pernambuco  e do Condomínio Prive Country. 
Peça fotos e medições gráficas (Smart). SOCORRO.",,neg
"1,63858451943861E+018","@NeoenergiaBR Sr. CEO da @NeoenergiaBR , Eduardo Capelastegui;do presidente executivo da @iberdrola, por favor, mande fazer um levantamento in loco da rede elétrica da Estrada de Aldeia, Camaragibe, Pernambuco  e do Condomínio Prive Country. 
Peça fotos e medições gráficas (Smart). SOCORRO. https://t.co/vewH960xu0",,neg
"1,63850617876955E+018",@DonatellaHoller se perdeu por camaragibe,,neg
"1,6384048695172E+018",tenho que achar uma costureira aqui em Camaragibe 🥴 pqp,,neg
"1,63838267307167E+018","Hoje nosso amado Presidente virá nos visitar. Não posso vê-lo junto com nossa amada Primeira Dama. Tenho 3 netos de 6,5 e 2 anos para cuidar enquanto minha filha trabalha. Fica bem difícil levá-los pois não temos carro. Venha em Camaragibe @LulaOficial @JanjaLula Te amamos",,pos
"1,63835918740607E+018","⚠️Exposed ⚠️

Ai gente, tem um motorista do São Lourenço/Camaragibe que é extremamente seboso. O cara hoje veio o caminho todinho falando mal das mulheres, parecia que ele não tinha nascido de uma bct e não tinha uma mãe.
Nunca vi um cara tão machista assim +",,neg
"1,63835730394132E+018",Eu to com preguiça de ir em camaragibe amanha pra ajeitar o cabelo por conta da chuva. Se amanhecer chovendo eu deixo pra ir na quinta,,neu
"1,63834325770371E+018","@oherminioneto @macielscr Tem um cardiologista aqui em Camaragibe, que começa às 8 da manhã e só vem parar a noite, e olhe que já é um senhor, e atende a todos na maior vontade… a consulta demora, fico impressionado",,neg
"1,63832785015876E+018",Noite de chuva aqui em Camaragibe/PE,,neu
"1,63832772203117E+018",camaragibe se encontra debaixo d'água,,neg
"1,63830939824106E+018",RT @HelvioGroeschel: 🛐 Hoje o distrito de Camaragibe dará continuidade ao movimento espiritual da APe por uma igreja que não para de jejuar…,,pos
"1,63829888260504E+018","@allicegsa nao gosto de camaragibe, esse povo feio",,neg
"1,63829365841066E+018","@kerolskerolayne Duas coisas que Kerols não admite:
1. Que mora em Camaragibe
2. Que é workaholic",,neg
"1,63829285438774E+018",@Misslucifer2016 O deftones de Camaragibe,,pos
"1,63829096636793E+018","@Misslucifer2016 se jesus nasceu em belém, judas nasceu em camaragibe?",,neg
"1,63829039502405E+018",Acho que vou mudar meu Nick pra Fafa de Camaragibe em oposição a Fafa de Belém,,pos
"1,63828969984324E+018",Provavelmente algum lugar de Camaragibe https://t.co/hcHYC00Y9o,,pos
"1,6382813165621E+018","@NeoenergiaBR Para conseguir abastecer uma cidade é fundamental a rede elétrica funcionar. 
Algumas fotos do estado xe abandono da rede da Estrada de Aldeia, Camaragibe, Pernambuco e do Condomínio Prive Country Aldeia. 
Socorro. 
A energia elétrica é imprestável. https://t.co/pLA68AKBUK",,neg
"1,63827983356525E+018","@NeoenergiaBR Parabéns. 
Quando a @neoenergiape @NeoenergiaBR vão renovar a rede da Estrada de Aldeia, Camaragibe, Pernambuco  e do Condomínio Prive Country Aldeia?
Aqui está tudo destruído. Até as normas de compartilhamento de postes não é cuidada. 
Cabos, postes e árvores são a mesma coisa. https://t.co/4UIqmzLgAE",,neg
"1,6382367813918E+018","Dei match em duas minas q moram em Camaragibe, aí é foda 🗣️",,pos
"1,63823652472556E+018",Casal: Falta de energia paralisa ETA e causa desabastecimento em Passo do Camaragibe https://t.co/lSq0fMOoZc,,neg
"1,63822770386935E+018",Todo dia uma experiência única entrar em um camaragibe/macaxeira,,neu
"1,63822212744152E+018",Acho fofo que aqui em Camaragibe ainda tem muito aqueles veio do interior que usa camisa de botão e aqueles chapeuzin.,,pos
"1,63822100394278E+018","agora na estação joana bezerra, sentido subúrbio (jaboatão/camaragibe), ouvi, pela primeira vez em muito tempo, o som da buzina do metrô -- e de uma forma desesperada e estridente.
motivo: uma pessoa atravessava pelos trilhos de uma plataforma para outra enquanto o metrô chegava",,neu
"1,63821709055219E+018",Falta de energia paralisa ETA e causa desabastecimento em Passo do Camaragibe https://t.co/1UejhbkhTb,,neg
"1,6381973476949E+018","CAMARAGIBE I Uma mulher foi morta a tiros dentro de casa nesta segunda (20), na rua Ramiz Galvão, em Vera Cruz. Em 2023, o Instituto Fogo Cruzado registrou 38 mulheres baleadas na RMR - 23 morreram. Além disso, foram registradas 56 pessoas baleadas dentro de casa - 48 morreram. https://t.co/fnq9g2j14k",,neg
"1,63818109869278E+018","| #NoArNaCBN - Debate | Decisão | Prefeitos do Grande Recife. Conosco, hoje (21), a prefeita de Camaragibe, Nadegi Queiroz; o prefeito do Paulista, Yves Ribeiro; e o prefeito do Cabo de Santo Agostinho, Keko do Armazém. https://t.co/YazZXAFUeZ",,neu
"1,63816989790477E+018",RT @HelvioGroeschel: 🛐 Hoje o distrito de Camaragibe dará continuidade ao movimento espiritual da APe por uma igreja que não para de jejuar…,,pos
"1,63816914292989E+018",meter um desse aqui no linha centro camaragibe https://t.co/wvESAUSebo,,neu
"1,63816825186679E+018",Camaragibe hoje ta um caos,,neg
"1,63816631366622E+018","Os municípios foram: Barreiros, Cabo de Santo Agostinho, Camaragibe, Goiana, Jaboatão dos Guararapes, Macaparana, Moreno, Nazaré da Mata, Olinda, Palmares, Paudalho, Paulista, Recife, São José da Coroa Grande, São Vicente Férrer e Timbaúba (3/6)",,pos
"1,63815829499166E+018","Chovendo de acabar o mundo
E cedo tava tranquilo consegui passar por Olinda 
Agora tenho que sair do pina pra Camaragibe
Mas como se meu carro ainda não aprendeu a nada nem a voar?",,neg
"1,63815545888716E+018","Deus abençoe grandemente o meu amado e querido Presidente BOLSONARO 🙌🙌🇧🇷🇮🇱🤝👍
Parabéns presidente pelo seu dia!
Feliz aniversário! Volta logo 
Passo de Camaragibe Alagoas te ama ❤️❤️🇧🇷 https://t.co/nYH1peL91Q",,pos
"1,63814521623751E+018",RT @HelvioGroeschel: 🛐 Hoje o distrito de Camaragibe dará continuidade ao movimento espiritual da APe por uma igreja que não para de jejuar…,,pos
