id,texto,author_id,sentimento
"1,63920265785532E+018","Bom dia com o cara do blablacar cancelando a única carona do dia para Olinda.
Bom dia..",,neg
"1,63919966788274E+018","Resumo preciso:
- Maceió é a melhor capital do nordeste com folga;
- Olinda é aconchegante;
- Recife é perigoso;
- Maceió é barato para viver;
- Maragogi é hypado demais;
- Use protetor solar;",,neu
"1,63919828422377E+018","@SuperVia_trens bom dia , qual horário do próximo central na estação Olinda?",,neu
"1,63919577021248E+018","@SuperVia_trens poderia realmente dizer que horas que esse trem q está indo pra Japeri e está parado a séculos na estação de Olinda de fato vai sair? Precisamos seguir, saber se ele vai andar ou nao.",,neu
"1,63919193699199E+018","Bom dia @SuperVia_trens, onde tá o trem pra Central? Estou em Olinda.",,neu
"1,63918650082588E+018",@castelllovini @senadorhumberto @castelllovini  se vc se candidatar a prefeitura de Olinda. Me empenho a fazer campanha . Começa a pensar na ideia.,,pos
"1,6391770383672E+018","@marcosdoval Sinceramente,senador do Val,aquela discreta joelhada na pleura ou nas costelas do boneco de Olinda da vale tudo de Brumadinho não seria funcional neste serviçal de Soros,em vez de implorar q ele cumpra a lei?!
Evidente q o compromisso dele é com os 7 bilhões daquela causa no 5TF",,neg
"1,63916245976314E+018","Encontrei mo galera da época de Olinda
Muito bom ❤️❤️❤️",,pos
"1,63916127508624E+018",@EduGiraoOficial @rodrigopacheco @cleitinhotmj No seu lugar eu teria um plano B. O boneco de Olinda é uma marionete do molusco.,,neg
"1,6391517795511E+018",@Mel_olinda q sdd do meu ex,,neu
"1,63914546735427E+018","Novinho tirou a camisinha pra me socar no pelo 🤤🔥

Grupinho no Telegram 🔥😈👇
https://t.co/u7VCmrPz9c

#PINTOSAWARDS 
#PINTOAWARSDS 
#PINTOWARDS 
#Recife 
#Olinda https://t.co/WeyAPOMNSr",,pos
"1,63914477278189E+018","Engolir todo o pauzao desse Novinho 🤤🔥

Grupinho no Telegram 🤤👇
https://t.co/u7VCmrQ6YK

#PINTOSAWARDS 
#PINTOAWARSDS 
#PINTOWARDS 
#Recife 
#Olinda https://t.co/HOmWTlHPnD",,pos
"1,63914419625785E+018","Amigo do meu irmão , era louco pra socar meu cuzinho 😈🔥

Grupinho no Telegram 👇🤤
https://t.co/u7VCmrPz9c

#PINTOSAWARDS 
#PINTOAWARSDS 
#PINTOWARDS 
#Recife 
#Olinda https://t.co/f4aoGaDnZP",,pos
"1,63914400481715E+018","RT @Centralgfr: 🎥| @Anitta &amp; @juliette, em ""#CarvalheiraNaLadeira"", Olinda - PE. https://t.co/NMqwYWNj7g",,pos
"1,63914398703757E+018","RT @Centralgfr: 🎥| @Anitta &amp; @juliette cantando ""Frevo Mulher"", em ""#CarvalheiraNaLadeira"", Olinda - PE. https://t.co/9sMiBKQxcU",,pos
"1,63914326980757E+018","Novinho Soco pau na minha garganta 🤤😈🔥

Grupinho no Telegram 👇🤤
https://t.co/u7VCmrQ6YK

#PINTOSAWARDS 
#PINTOSASWARDS 
#PINTOAWARSDS 
#Recife 
#Olinda https://t.co/ZhBGhCbxyT",,pos
"1,63914273768864E+018","Foda gostosa com esse novinho jogador 🤤🔥

Grupo no Telegram 👇😈🔥
https://t.co/u7VCmrPz9c

#PINTOSAWARDS 
#PINTOWARDS 
#PINTOAWARSDS 
#Olinda 
#Recife https://t.co/lVSSw9DedW",,pos
"1,63914208105346E+018","Fudendo com o Novinho que conheci no tinder  🔥😈

Grupinho no Telegram 🤤🔥
https://t.co/u7VCmrPz9c

#PINTOSAWARDS 
#PINTOAWARSDS 
#PINTOWARDS 
#Recife 
#Olinda https://t.co/5vDRLt1c7B",,pos
"1,63914090560826E+018","Mamando o picao do novinho de boa viagem 🔥🤤

Grupinho no Telegram 👇🤤
https://t.co/u7VCmrPz9c

#PINTOSAWARDS 
#PINTOWARDS 
#PINTOWARDS 
#Olinda 
#Recife https://t.co/2EiWhk8qLu",,pos
