id,texto,author_id,sentimento
"1,63920442988585E+018","RT @thiagosilvafel: @BregaBregoso Bancada evangélica devia se preocupar com bem ao próximo, a quantidade absurda de moradores de rua no cen…",,neg
"1,63920428371873E+018","RT @BregaBregoso: Só quem pode falar mal de Recife é quem é de Recife, de resto… 🤫🤐",,neg
"1,63920410207583E+018","@omaltrapilho @bibscarv_ De Recife? Ela falou muito aqui por Natal,  eu e meu irmão gostamos  muito dela.",,pos
"1,63920387914855E+018",uma querida amiga cult com suas roupas estilo dark academia tocando seu querido ukulele sentindo apreciando a música na parada de ônibus em recife pe,,pos
"1,63920383958358E+018","@nikollers Na treta com recife eu apoio meu país salvador... Mas as de Sergipe nem dou ousadia, amo mas uma roça ainda",,neu
"1,63920356498262E+018","RT @BregaBregoso: Só quem pode falar mal de Recife é quem é de Recife, de resto… 🤫🤐",,pos
"1,63920351796857E+018","RT @Jakelyneloiola_: Evento com Lula no Recife é marcado por vaias de servidores da Saúde. 

😂😂😂😂 https://t.co/zbvN6f2w7n",,neg
"1,63920348323582E+018",RT @Zanfa: Fui a Recife e lembrei de você https://t.co/hscbySVUit,,neu
"1,63920344481151E+018","RT @palma35d: Lula retoma programa de aquisição de alimentos com prioridade para mulheres, negros e indígenas.
Pr Lula assinou nesta quarta…",,neu
"1,63920317033207E+018",Recife é muito Bipolar viuuuuu,,pos
"1,63920302851007E+018","RT @deminho_atv: Recife não para, mas um pra vocês 
🔥😈🔥
completo em todas as plataformas

• https://t.co/3Oodx0rkyp

• https://t.co/2iVKn9Q…",,pos
"1,63920276491493E+018","peguei o Tancredo com ar, vitorias pequenas do dia a dia de uma mulher trabalhadora no transporte público (lixo) de recife",,pos
"1,63920249646683E+018",Aaah tmc vem pra Recife porr https://t.co/4IR1BMlDI7,,neu
"1,63920244707913E+018","RT @JoaoCampos: Grande notícia para o Recife! O Governo Federal vai liberar R$ 66,8 milhões para investirmos em grandes obras de encostas n…",,neu
"1,63920241076467E+018",RT @nisia_trindade: Lançamos com o presidente @LulaOficial ontem (22) a Estratégia Nacional de Controle e Eliminação do #CâncerCervical. Va…,,neu
"1,639201989447E+018","Leão anuncia o zagueiro Alisson Cassiano – Sport Club do Recife

Fique por dentro das notícias! Siga @info_joinville. Atualizações diárias.

#joinville #joinvillesc

 Link da notícia: https://t.co/ayVrxAgIkw",,pos
"1,63920195933594E+018",@boy_from_recife eu queria ser ativo https://t.co/NLqoFgThRi,,neu
"1,63920184571659E+018","RT @deminho_atv: Recife não para, mas um pra vocês 
🔥😈🔥
completo em todas as plataformas

• https://t.co/3Oodx0rkyp

• https://t.co/2iVKn9Q…",,pos
"1,63920089176411E+018","RT @Enganadosofc: Grupo VIP, novinho gozando🤤😋
@AdoradorPaus @adultfortal @RTNovinh0s @BoysOficialBH @brotheragemrt @choquei_nuds @criaseba…",,pos
"1,63920057300102E+018",As vezes tô andando por recife e vou passando por lugares que eu e ele já passou e automaticamente abro aquele sorrisinho no rosto por lembrar de cada momento juntos e acredito que vai ser assim pra vida toda porque não tem como amar tanto alguém duas vezes na vida,,pos
"1,63920054612382E+018",Hoje preciso ir a Recife e já tô cansado só de pensar na viagem. Ir hoje e voltar hoje mesmo. 😫,,pos
"1,63920013301434E+018","RT @Enganadosofc: Grupo VIP, novinho gozando🤤😋
@AdoradorPaus @adultfortal @RTNovinh0s @BoysOficialBH @brotheragemrt @choquei_nuds @criaseba…",,pos
"1,63919966788274E+018","Resumo preciso:
- Maceió é a melhor capital do nordeste com folga;
- Olinda é aconchegante;
- Recife é perigoso;
- Maceió é barato para viver;
- Maragogi é hypado demais;
- Use protetor solar;",,neu
"1,63919963092673E+018","RT @nlida64065669: Militantes que acompanham a chegada do Lula no Geraldão, no Recife, denunciaram roubos no evento. Com toda certeza foi p…",,neg
"1,63919913244651E+018","RT @nlida64065669: Militantes que acompanham a chegada do Lula no Geraldão, no Recife, denunciaram roubos no evento. Com toda certeza foi p…",,neg
"1,63919910776705E+018","RT @deminho_atv: Recife não para, mas um pra vocês 
🔥😈🔥
completo em todas as plataformas

• https://t.co/3Oodx0rkyp

• https://t.co/2iVKn9Q…",,pos
"1,63919903517203E+018",RT @Zanfa: Fui a Recife e lembrei de você https://t.co/hscbySVUit,,neu
"1,63919896304259E+018",@reportertarso Tinha uma faculdade aqui em Recife que dava curso pra técnico de futebol. Um aluno mediano dessa turma seria melhor que Felipe Conceição.,,neg
"1,63919872625725E+018",@senadorhumberto @LulaOficial @teresaleitao_ O ladrão chegou ao recife,,neg
"1,63919865379674E+018","RT @danyloMontyneg2: 📸 | Anitta já está pronta para o show em Recife. 
O look (N É FANTASIA) é um artesanato feito por indígenas do povo Gu…",,neu
"1,63919859390182E+018",te procurei em todos os rostos que cruzaram cmg em recife.,,neu
"1,63919834162308E+018","RT @deminho_atv: Recife não para, mas um pra vocês 
🔥😈🔥
completo em todas as plataformas

• https://t.co/3Oodx0rkyp

• https://t.co/2iVKn9Q…",,pos
"1,63919784117953E+018","RT @deminho_atv: Recife não para, mas um pra vocês 
🔥😈🔥
completo em todas as plataformas

• https://t.co/3Oodx0rkyp

• https://t.co/2iVKn9Q…",,pos
