id,texto,author_id,sentimento
"1,63919395074864E+018","@idudo_ (aaaa tambem, qual teu turno?)

link do projeto pedagogico, onde tem a grade: https://t.co/7cKZOEb1L4",,neu
"1,63918617023915E+018",Eu assim de manhã indo pra ufpe escutando esse hit no meu fone https://t.co/e82jajXnOw,,neu
"1,63916441235005E+018",RT @mamadorrecife35: @catufpe2 @Bau_rec QUERO MAMAR OS NOVINHO NA UFPE... OLHA O QUE EU FAÇO COM PIKA https://t.co/qKQULYkJzO,,pos
"1,63914051644412E+018",RT @arquivozipado: Hoje a UFPE acabou comigo,,neg
"1,63912506855407E+018","@deschampssss maior sonho da vida agr é said da ufpe formada antes dos 30😍😍😍

faz vlog td dia!!!!",,pos
"1,63912438979806E+018","@notmrna daq a pouco sou eu com 30 anos na ufpe 😍😍

vou gravar tudo!! (mentira)",,pos
"1,63912382327762E+018","@deschampssss verdade, mas pense ufpe só tem velho ainda tentando se graduar 🤣🤣🤣

qnd começar suas aulas vc vai ser a tiktoker da ufpe",,pos
"1,63912330137609E+018",@notmrna tens um ponto mas porra aparece de TODAS as faculdades menos ufpe,,neg
"1,63912246088792E+018",@deschampssss é pq a geração tiktok vai entrar agr na ufpe,,pos
"1,63912228064197E+018","percebi q n tem tiktoker na ufpe n pq porra n aparece um video se quer da ufpe na minha fy 
e os q tem sao nhe",,pos
"1,63910587311627E+018",minha sala querendo tirar a doidinha pobi da doidinha a doidinha apenas da ufpe ✨ bichinha da doidinha,,pos
"1,63909384611706E+018","[23/3 23:20] Ufpe: Acho que não é tudo bem, porque.... ........ .... (corte)
[23/3 23:27] Renata: show

👍👍👍👍👍👍 hj n faro",,pos
"1,63908809551656E+018",Uma vaga na UFPE https://t.co/rXh2kEuEAi,,neu
"1,63908794507529E+018",indo dormir ignorando que tenho que ser desvinculada da ufpe enviar documento pra a ufs me despedir dos meus amigos me despedir do meu pai e ir embora .,,neu
"1,63908436478393E+018",@vitoronha KKKKKKKKKKKKKKKK amiga qnd tu me mandou a msg eu fiquei tão triste pensando em tu chegando na ufpe achando que ia me encontrar,,pos
"1,63908201775625E+018",A ufpe mata um de ansiedade,,neg
