id,texto,author_id,sentimento
"1,63908279493159E+018","RT @centrosabia: INTERCÂMBIO 📝| O curso de agroecologia da UFRPE tem como metodologia a pedagogia da alternância, que garante o tempo de es…",,pos
"1,63907739651005E+018","queria entender pq o site da UFRPE teima dizendo que o arquivo que  estou anexando tem tamanho 0KB se a porcaria do documento tem tamanho 2,1 MB",,neg
"1,63907479594064E+018",@VerseSound Então venha simbora pra UFRPE. 🥰🥰,,pos
"1,63904538665128E+018","@JoYjjoYyjooy é sim, a unidade da UFRPE",,pos
"1,6390443072807E+018",@rhayneken @kinhoxcx queremos rhay em ufrpe amanhã!!,,neu
"1,63899935481516E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63899761151127E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63897490978206E+018","RT @rbsn_crvlh: Nos conhecemos em uma calourada da UFRPE, eu do segundo período e ele calouro da Zootecnia. Tinha mandado um spotted antes…",,vazio
"1,63896752077735E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63892485331403E+018",Ufrpe você me paga,,neg
"1,63889017223763E+018","Nos conhecemos em uma calourada da UFRPE, eu do segundo período e ele calouro da Zootecnia. Tinha mandado um spotted antes da festa, mas ficamos antes do spotted chegar, graças a minha prima que me deu uma ajudinha. Vamos completar 8 anos de namoro no dia 28 de março. ♥️ https://t.co/9JIgOwBX2t https://t.co/OxgLsmMVMq",,pos
"1,63887241698946E+018","INTERCÂMBIO 📝| O curso de agroecologia da UFRPE tem como metodologia a pedagogia da alternância, que garante o tempo de estudo na universidade e o tempo de estudo na comunidade, prioriza a vivência dos estudantes e os intercâmbios para conhecer melhor os territórios. + https://t.co/2DMQri74KO",,pos
"1,63884476389699E+018",Vou subir pra UFRPE com a camisa de 2017😌,,pos
"1,63879132830043E+018","@jc_pe A universidade Federal rural de Pernambuco é maravilhosa.  Sempre ouvi de amigas que estudaram lá quanto a instituição é acolhedora. Parabéns a Adri Calcanhoto, a Ufrpe e a Mirtes pela coragem .",,pos
"1,6387520889634E+018","@orima_crf pera pera, ela passou na ufrpe, amg",,neu
"1,63872011968891E+018","só queria ta postando foto brega com a localização ""UAST - UFRPE"" 😔😔😔😔💔💔💔💔 
te odeio, mae",,neg
"1,63871531694239E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63870240394695E+018","Ufrpe, da um sinal de vida plmds, fala como que vai distribuir os restantes das vagas",,neu
"1,63867785057952E+018",parmegiana de carne moída simplesmente divino obrigada ufrpe pelo RU de hoje,,pos
"1,63867380528655E+018","Ministério da Pesca, a UFPE e a UFRPE assinaram acordo para uma capacitação de pescadores artesanais. O ministro André de Paula falou que o convênio de cooperação técnica vai permitir que os restaurantes universitários comprem a produção de peixes da pesca artesanal. 🧶",,neu
"1,63865754331135E+018","O 3 da esquerda p é o Professor Marcelo Carneiro - Reitor da UFRPE (minha antiga casa). Na assinatura d convênio com o Ministério da Pesca p os pescadores artesanais fornecerem peixe p RUs d UFRPE e UFPE. 
Professor Marcelo é um lutador da democracia e um reitor extraordinário. https://t.co/Vby5uiefRB",,pos
"1,63865275463682E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63861662835397E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63861148466952E+018","Galera aprovada na UFRPE, vocês já tiveram o vídeo de heteroidentificação validado ou só o meu que tá submetido ainda sem resposta?",,neu
"1,63860459979485E+018","Nem a UFRPE sabe tratar as arvores direito quem dirá a cidade

Antes e depois https://t.co/okJZ3bBtbJ",,neg
"1,63858151330963E+018",só queria logo sair do ensino médio e ir direto p ufrpe,,pos
"1,63857744386168E+018","@gabew50 Já vivi sabotagem dos trosko do PSTU, violência de jagunço da UJS, pedrada de Anarquilóide maluco, vi o Juntos nascer e morrer em si mesmo..... só citando as duas faculdades que estudei (UFRPE e UFPE)",,neg
"1,63855172453215E+018",Indo para ufrpe na base do ódio,,neg
"1,63851670251738E+018","Pesquisas sobre memes no ensino de Ciências da Natureza é o tema deste artigo. 

Será que existem muitos memes sendo abordados no ensino de Ciências da Natureza? Confira neste artigo!
https://t.co/3xPIcWqEaH https://t.co/KqYIHgzCbH",,neu
"1,63848980099392E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63846727498505E+018","a ufrpe não cancelou as aulas mas gil sim, eu te amo gilvaneide mesmo que a senhora passe 8237392392 trabalhos 873091203 leituras e 8388328 atividades eu a amo, vou ficar o resto do mês sem falar mal da senhora",,vazio
"1,63836963660022E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,vazio
"1,63836153666101E+018",FINALMENTE terminei de enviar os documentos pra ufrpe,,pos
"1,63836101356413E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,6383547945563E+018",entao quer dizer q a ufpe ja tem data pro começo das aulas do primeiro semestre e a bonitona da ufrpe n divulgou nem a data q vai lançar o edital atualizado c no minimo a data da confirmaçao de vinculo ne,,neg
"1,63834706835473E+018","decidi, vou pra ufrpe, mas o site simplesmente NAO envia meus documentos https://t.co/14zzZuhkxi",,neg
"1,6383408895075E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63832821485768E+018","me da uma big nostalgia tbm da várzea, eu smp ia pra ufrpe ouvindo bambam, eu chega sinto o calor na minha pele qnd ouço essa musica e nem é brincadeira",,pos
"1,63832434820844E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,63832246191667E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
"1,6383024570244E+018",@raidorieu LIGA PRO DRCA. Eles resolveeeem. Mas tu pode fazer a entrega da documentação normalmente e resolver com a UFRPE depois.,,neu
"1,63829651013471E+018","RT @studiesprado: ⌕: #studytwt &amp; #studytwtbr  ⭐

- muriel, ele/elu
- 2005 
- 3° ano no ensino médio (3/3)
- foco: parar de procrastinar, mo…",,neu
