id,texto,author_id,sentimento,sentimentoNLTK
"1,63908126931616E+018","RT @xfabiosouza: resolvi que vou relatar aqui o processo e o que estou fazendo para ajudar, quem sabe não ajuda outras pessoas, né?

hj eu…",,pos,neu
"1,63903756119151E+018","resolvi que vou relatar aqui o processo e o que estou fazendo para ajudar, quem sabe não ajuda outras pessoas, né?

hj eu consegui ficar a tarde toda sem tocar no celular, eu segui uma dica que escutei no podcast do @mimimidias de desativar as notificações de aplicativos que+",,pos,neg
"1,63815666452737E+018","@darkgaladriel_ @mimimidias é uma mulé e um omi, mas sempre recomendo e a @claramatheus é incrível tbm.",,pos,neu
"1,63805225435893E+018","@PauloArana @mimimidias O oposto: quando citam não há relação direta com o tema, e quando há, é para acusar a banda de ser ""mainstream"" no gênero

Sério, eu que não sou da cena BM estou revoltado e com uma vergonha alheia do caralho dos brasileigos, pqp

Até gente da esquerda e underground metendo essa",,neg,neg
"1,63805043165282E+018","@PauloArana @mimimidias Se alguém me dissesse que lançaram um livro de 500 páginas sobre toda a cena de nazismo/fascismo no Neo Folk, e nele não há sequer uma paginazinha sobre o Death in June, basicamente pais da porra toda, eu nem saberia o que dizer. Esse é um cenário impossível e inimaginável",,neg,neg
"1,63804784576374E+018","@PauloArana @mimimidias ... em um livro focado no NSBM, deveríamos ter ao menos um capítulo sobre a influência política nazi-fascista/supremacista/racistado Mayhem na cena, sendo eles uma banda CLÁSSICA e SEMINAL no gênero. Ok ? 

Mas o que temos é exatamente o oposto disso: https://t.co/dgEHvhBAsy",,neg,neg
"1,63804607352761E+018","@PauloArana @mimimidias Se no Lord of Chaos não há acusações da banda ser ao menos simpática ao nazismo, e não vi nenhuma outra fonte, artigo, livro ou estudo documentando e evidenciando isso de forma ao menos que mereça atenção (meia dúzia de episódios soltos de décadas atrás em 40 FUCKING ANOS)....",,neg,neg
"1,63803033888138E+018","@PauloArana @mimimidias Depois de um tempo lançaram esse livro aqui que aborda mais diretamente os temas de nazismo e extremismo de direita no black metal, e achei bem decente https://t.co/3r4VNzgH3p",,pos,neg
"1,63801732580585E+018","@PauloArana @mimimidias Sobre o Mayhem ser supostamente nazista ou supremacista ou fascista, whatever, e ter de alguma forma essas ideologias manifestas na sua música ? 

Também nada, duas ou três frases e alguns episódios em uma carreira de 40 anos, nada incomum no mundo da música extrema",,neg,neg
"1,63801625814576E+018","@PauloArana @mimimidias Me perdi novamente, mas volto: 

Achei que Lords or Chaos trata superficialmente do tema de extremismo político de direita e sua influência e infiltração no black metal

Especificamente sobre nazismo e supremacismo há pouca coisa. E li uns 2 ou 3 que eram pobres no tema tb",,neg,neg
"1,63801443090552E+018","@PauloArana @mimimidias Ou achar o disco do Nick Cave Murder Ballads fodão, um disco de baladas tradicionais de assasinatos de mulheres, e não ser um psicopata feminicida

E ele é fodão exatamente por ser sobre isso, e não apesar disso

Temas mórbidos podem ser elevados a arte se o cara tem a manha",,neg,neg
"1,63801273524079E+018","@PauloArana @mimimidias Então sim, é possível gostar de ler livros e sobre a cultura black metal, e tb ler livros sobre a extrema direita, achar valor nos trabalhos ou algo esteticamente atraente ou fascinante, sem nem gostar de black metal de verdade",,pos,neu
"1,63801209147793E+018","@PauloArana @mimimidias ... da cena industrial e neofolk  cena dark e tal, principalmente com alguns artistas chave que fazem essa ponte

Então foi por aí que eu cheguei nesse livro Lords of Chaos, e outros livros sobre black metal",,pos,neg
"1,63801150593642E+018","@PauloArana @mimimidias Então com esse background de quem acompanha música underground e cultura alternativa que vem o pouco que sei sobre black metal, e algumas ramificações que alguns desses artistas tem com uma parte da cena industrial e neo folk, paganismo, eurocentrismo, que liga aí por meio...",,pos,neu
"1,63801050541869E+018","@PauloArana @mimimidias E também acompanho bastante temas políticos, e entendo bem de movimentos de extrema direita, principalmente americanos

E na noite paulistana lá atrás tb presenciei e participei ds algumas tretas com carecas  white powers, naquela época era mais comum que hoje",,pos,neu
"1,63800954282589E+018","@PauloArana @mimimidias Mas voltando: eu não sou um especialista em black metal, pior ainda, nem escuto

Mas acompanho e gosto de música underground, mais na linha dark/industrial/cyberpunk, indie rock (que os antigos como eu chamavam de alternativo ou guitar bands), rock dos anos 60, psychobilly, etc",,pos,neu
"1,63800867889163E+018","@PauloArana @mimimidias Eu vi que você não entrou muito nessa polêmica do Mayhem aqui publicamente, então claro fique a vontade para comentar aqui ou não, de boa. Mas se eu falar besteiras muito grandes, avise pls, hahahauah",,neu,pos
"1,63800801635927E+018","@PauloArana @mimimidias @tavosmm , eu tô rindo aqui ainda que eu não fazia a menor ideia que tu traduziu o livro, hauhauauajah

E vi que você faz parte da cena metal, ou do black metal, enfim, vi algumas postagens suas aí, legal. E que acompanha o black metal de esquerda, que deve ser interessantíssimo",,pos,pos
"1,63796300658683E+018","@PauloArana @mimimidias Aproveitando, isso aqui é simplesmente vergonhoso para o Brasil, para a ESQUERDA que pressionou por impedir uma manifestação artística legítima UNDERGROUND de uma banda clássica e seminal que não tem histórico de cancelamento por política 

Vergonhoso

https://t.co/f1yT1tS2cI",,neg,neu
"1,63796042693046E+018","@PauloArana @mimimidias .... pq não há nada muito fechado que caiba tudo, mas as ideias que passam ali pela cena black metal nórdica se alinham naturalmente mais a direita que à esquerda

@tavosmm , tu lembra de alguma análise ou sequer citação a banda Mayhem como nazistas ou fascistas ? Como banda ?",,neu,neu
"1,63795931951255E+018","@PauloArana @mimimidias Eu achei muito bom, pois curto vários estilos de musica e rock, e apesar de não ser conhecedor profundo de metal, gosto de me informar sobre cenas musicais bizarras

E gosto de ler sobre política em geral

Masssss, achei fraca a exploração da temática política....",,neg,neu
"1,63795863537126E+018","@PauloArana @mimimidias hujaj, só depois que vi que tu foi tradutor, hauhajja

Bom, maneiro pra caralho hein ! Parabéns

Uma coisa que eu estava lembrando aqui, é que quando eu li o livro eu me lembro que achei bem pobre na exploração da política e influência da extrema direita

https://t.co/gYGr9O4H3S",,pos,neu
"1,63795641395459E+018","@PauloArana @mimimidias Em 40 anos, em que países eles foram proibidos de fazer shows, lançar discos, ou foram cancelados por defenderem ideologia nazi, ou fascista, ou supremacista,  e os caralho ? 

Do Death in June eu posso dizer alguns episódios d3 proibição de todo tipo, inclusive do governo alemão",,neg,neg
"1,63795574627184E+018","@PauloArana @mimimidias Sim, há até livros de especialistas e estudiosos da cena, e principalmente sobre Black Metal, ideologia política e expressão cultural de extrema direita na cena

Onde estão as referências ? Em 40 anos o magrão lá usar uma suástica 4 vezes no palco ?",,vazio,neg
"1,63795496063669E+018","@PauloArana @mimimidias E não é só uma banda de 40 ANOS DE ESTRADA, é simplesmente uma banda CLÁSSICA e SEMINAL de um gênero não popular, mas conhecido. 

Milhares de coisas já escritas e analisadas sobre eles, reviews de disco e a porra toda

Onde está a pesquisa, análise e documentação sobre eles ?",,neg,pos
"1,63795397936664E+018","@PauloArana @mimimidias Nessa polêmica do Mayhem, em todo lugar que olho, são sempre as mesmas 5 ou 6 declarações racistas de membros de forma pessoal, e umas 2 ou 3 performances ARTÍSTICAS no palco COMO BANDA com parafernália nazi

UMA BANDA DE FUCKING 40 ANOS de carreira

As pessoas surtaram, pqp",,neg,neg
"1,63795303169302E+018","@PauloArana @mimimidias bandeiras, adesivos, totens, etc, análise de letras de música (uma caralhada geniais), entrevistas....

Pqp, provavelmente pra documentar tudo eu precisaria de uns dez livros  (já existe um mas é bem pobre)",,neg,neu
"1,6379525228778E+018","@PauloArana @mimimidias ... simbolismo nazista e rainbow flags lgbt (ele é homossexual), e pegando merchandising, todas as referências estéticas nas capas e discos em trocentas versões (nazi tem que ter parafernália nazi colecionável), trocentos uniformes, acessórios, decoração de palco com...",,neg,neu
"1,63795152814839E+018","@PauloArana @mimimidias E eu nem conheço ele e seus projetos a fundo

Se eu fizer o mesmo com o pica do Neo Folk que é o Death in June, eu terei tanto material nazi, facho, eurocentrista, de paganismo nórdico e runas, de militarismo de extrema direita, culto a força e ao masculino, juntando...",,neg,neg
"1,63795000072983E+018","@tavosmm @PauloArana @mimimidias ... as suas idéias políticas escrotas, ideologias assasinas, crenças estapafúrdias e lunáticas e tudo mais, provavelmente eu vou terminar com um material beeeeeemmm grande

Tanto por meio da sua pessoa, como por meio da sua banda, livros, revistas, sites, artigos e a porra toda",,neg,neu
"1,63794903156022E+018","@tavosmm @PauloArana @mimimidias ... que curtem dark, industrial e neofolk e já ouviram o Blood Axis (vá no Madame Satã e pergunte pros góticos quem conhece Blood Axis, e pedw pra citar o nome de um disco e uma música da banda, de 500 no máximo 5 vão saber), se eu fizer uma pesquisa aqui para levantar todas...",,pos,neg
"1,6379469537272E+018","@tavosmm @PauloArana @mimimidias Uma parada que é simplesmente bizarra e insana sobre esse boicote, cancelamento e discussão sobre o Mayhem é o seguinte:

Um cara obscuro como o Moynihan, que antes desse livro só era conhecido dentro do círculozinho de idéias esquisitonas, e por uma dúzia de nerds estranhos...",,neg,neu
"1,63793007777309E+018","@tavosmm @PauloArana @mimimidias Mas faz sentido, já que ele defende boa parte de ideias que permeiam aí uma parte do metal

Eu não conheço a fundo metal, mas conhecia ele pelas conexões com o Neo Folk e Industrial, já que nos anos 90 frequentei muito a cena Dark/Industrial/Cyberpunk",,neg,neu
"1,63792862087312E+018","@tavosmm @PauloArana @mimimidias Então é um escritor que tem uma bagagem para tratar desses temas extremos, apesar de pouca gente conhecer

E como ele nunca foi exposto devidamente como militante e praticante desse meio obscuro, meio que passou batido pela maioria dos leitores",,pos,neu
"1,63792749586009E+018","@tavosmm @PauloArana @mimimidias Eu não duvido, ainda mais ele sendo um experiente ativista e propagandista ligado a vários tipos de ideias extremistas e arte experimental, traficando com nazismo, paganismo asatru, tradicionalismo, satanismo, música industrial e neofolk, escrevendo livros e editando revistas,etc",,neg,neu
"1,6379242192783E+018","@tavosmm @PauloArana @mimimidias Se me lembro bem há até acusações de músicos retratados no livro que ele manipulou, exagerou ou inventou coisas, inclusive como uma forma de agitação cultural e política favorável a suas proprias ideias extremas",,neg,neg
"1,63792290518189E+018","@tavosmm @PauloArana @mimimidias Provavelmente você tem razão aí

Essa influência do livro para a criação de um mito que passou a ser mais central no desenvolvimento da cena

Há várias críticas a esse e respeito, e parte é que Moynihan fez isso de maneira proposital

https://t.co/HRY5LEou7K",,pos,neg
"1,6379171994226E+018",@tavosmm @peacecorpsbr @mimimidias Eita! Vou querer autógrafo do tradutor na minha edição então... Hahahaha É a edição da Estética Torta né?,,pos,neu
"1,63791560986957E+018",@PauloArana @peacecorpsbr @mimimidias dizem que a tradução dele pro português é ótima 👀👀👀,,pos,neu
"1,6379152324157E+018","@mimimidias @pedra_esp24 @tavosmm Sempre e sempre! Sinto saudades dos videos ensaios dele, mas Clara e Leo são dois lindos também e eu não perco um mimimidias em prosa! Tenho carinho demais por vocês, sério mesmo.",,pos,neu
"1,63791229274125E+018","@pedra_esp24 @mimimidias O @mimimidias é um projeto lindo demais! Sou eterno apoiador, fã e viuva do Tavos! Hahahaha",,pos,neu
"1,63791192807168E+018","@tavosmm @peacecorpsbr @mimimidias Opa, acho que algum dia dou uma chance então... Lendo por essa chave me parece interessante mesmo, bateu a curiosidade.",,pos,pos
"1,63790212438518E+018","RT @pedra_esp24: Excelente vídeo ensaio do @mimimidias sobre a cena do Black Metal.

https://t.co/OHIn3Z4yYx",,pos,neu
"1,63789899550599E+018","@PauloArana @peacecorpsbr @mimimidias Não digo que isso é bom, mas que é interessante é, pra caramba.",,pos,neu
"1,63789892760832E+018","@PauloArana @peacecorpsbr @mimimidias Sabe aquela fita de que ""Embalos de Sabado à Noite"" inventou uma cena de música disco que não existia antes do filme? o Lords of Chaos tem um pouco esse efeito; a imagem do inner circle (e outras cenas) que ele pinta meio que deu origem a toda uma noção de black metal.",,pos,neg
"1,63789865497855E+018","@PauloArana @peacecorpsbr @mimimidias Tipo, só quando eu li que eu fui perceber que VÁRIAS concepções que chegam na gente por comunidade de orkut, papo na galeria do rock, fofoca de fila de show e etc., na real, vinham dele, e do impacto que ele causou não exatamente na cena que ele retrata, mas na que ele inspira.",,pos,neu
"1,63789839452076E+018","@PauloArana @peacecorpsbr @mimimidias O livro é péssimo como fonte documental; mas eu acho muito interessante ler ele como parte do fenômeno do black metal. Ele foi tão circulado, na época, que os mitos, perspectivas e opiniões dele meio que passaram a compor a mitologia do black metal em geral.",,neg,neu
"1,63789599247222E+018","@peacecorpsbr @mimimidias @tavosmm Eu não li o livro mas tenho meus problemas com o filme, acho que dá uma romanceada e uma higienizada nas coisas que é até esperada pra forma como adaptaram, mas que não me agrada não... Talvez isso venha é do livro então, interessante.",,neg,neu
"1,63788758400828E+018",@PauloArana @mimimidias @tavosmm Pelo menos Moynihan não queimou nenhuma igreja nem matou ninguém (até onde eu sei...),,neg,neu
"1,63788734339784E+018","@PauloArana @mimimidias @tavosmm Um ponto que é bem curioso sobre o livro Lords of Chaos é que o autor, Michael Moynihan, é provavelmente um fascista mais sofisticado (ou confuso) e produtivo que toda a cena black metal que ele conta no livro 

Colaborou como Douglas P.,o pai do Neo Folk

https://t.co/9C5LwJAvgM",,pos,neg
"1,63788583247113E+018","RT @pedra_esp24: Excelente vídeo ensaio do @mimimidias sobre a cena do Black Metal.

https://t.co/OHIn3Z4yYx",,pos,neu
"1,6378830469877E+018","RT @pedra_esp24: Excelente vídeo ensaio do @mimimidias sobre a cena do Black Metal.

https://t.co/OHIn3Z4yYx",,pos,neu
"1,63788278334634E+018","Excelente vídeo ensaio do @mimimidias sobre a cena do Black Metal.

https://t.co/OHIn3Z4yYx",,pos,neu
"1,63785910695743E+018",RT @PauloArana: Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo d…,,pos,neu
"1,63783269416696E+018",RT @PauloArana: Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo d…,,pos,neu
"1,6377486149057E+018",RT @PauloArana: Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo d…,,pos,neu
"1,637748482437E+018",RT @PauloArana: Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo d…,,pos,neu
"1,63766352066062E+018",RT @PauloArana: Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo d…,,pos,neu
"1,63764716147823E+018",RT @PauloArana: Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo d…,,pos,neu
"1,63763490536124E+018",RT @PauloArana: Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo d…,,pos,neu
"1,63763296690921E+018",RT @PauloArana: Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo d…,,pos,neu
"1,63763202551437E+018",Pra quem quiser conhecer melhor a história da banda e do estilo tem o documentário Until the Light Take Us e eu recomendo demais o vídeo de 2020 do @mimimidias apresentado pelo @tavosmm sobre o filme Lords Of Chaos que também conta a história do Mayhem e do Black Metal Norueguês.,,pos,neg
"1,63677156787826E+018",@mimimidias o loop do vídeo é excelente kkkk,,pos,neu
"1,63677098926983E+018",RT @qsefofa: Ouvindo o @mimimidias em prosa e sobre a parte das dicas de oratória eu tenho só um adendo: uma das dicas é falar alto (dentro…,,pos,neu
"1,63673895193016E+018","Ouvindo o @mimimidias em prosa e sobre a parte das dicas de oratória eu tenho só um adendo: uma das dicas é falar alto (dentro do razoável), mas eu preciso adicionar que o campo do razoável difere para homens e mulheres. Eu sou mulher, eu falo alto e isso nunca me foi positivo",,pos,neu
"1,63920251907854E+018","RT @CopaNordesteCBF: Ele é Cruel, não tem jeito...

O segundo do @nauticope, o segundo do Jael ⚽️⚽️

#NAUxFER #CopaDoNordeste https://t.co/…",,pos,neg
"1,63919597250796E+018",@NE45Minutos @SantaCruzFC @nauticope @sampaiocorrea @SantaCruzFC vai te f...,,neg,neu
"1,63919135076269E+018",@fascunhajr @nauticope @CopaNordesteCBF Mesmo com as duas de um lado continua sendo nada .,,neu,neu
"1,63918753578733E+018",@NE45Minutos @SantaCruzFC @nauticope @sampaiocorrea Já vejo Felipe se arrepender.,,neg,neu
"1,6391837804841E+018","RT @reporterantonio: Diante da crise de segurança pública em Natal, ficou definido na tarde de hoje que a partida do fim de semana entre AB…",,neg,neu
"1,63918375775947E+018","RT @reporterantonio: E há precedente pra isso: contra o próprio @nauticope na Copa do Nordeste desse ano, o CRB conseguiu a liberação da to…",,neg,neu
"1,63917289668044E+018",RT @nauticope: O CAPITA MANDOU O RECADO! Mais uma vitória e mais um vídeo de bastidores. Aqui é Náutico! Assista: https://t.co/VVpQV6woCG 🔥…,,pos,neu
"1,63917251692426E+018","@joncavalcante_ @KaueSadeAndrade @JogoDireto_ @ocampo_fala @rodolphomn @nauticope @NauticoNET1998 @discutindoabase @DiarioTimba @Douglaspopoto @LISCADOIDO Ei, já viu essa notícia? 
 Aproveita seja nosso seguidor 
 @futebol_bot 
 
 https://t.co/J5Xv3t5mVh",,pos,neu
"1,6391724844771E+018","@joncavalcante_ @KaueSadeAndrade @JogoDireto_ @ocampo_fala @rodolphomn @nauticope @NauticoNET1998 @discutindoabase @DiarioTimba @Douglaspopoto @LISCADOIDO Ei, já viu essa notícia? 
 Aproveita seja nosso seguidor 
 @TubeYouTrends 
 
 https://t.co/eTj8f09H8P",,pos,neu
"1,63916268251424E+018","@nauticope Parabéns, agora eu ver nas quatro linhas.",,pos,neu
"1,63914301681526E+018","@NE45Minutos @ABCFC @nauticope Duvido! O CNC vai recorrer ao STJD, e com certeza a partida haverá tbm presença da torcida alvirrubra!",,neg,neu
"1,63914231775486E+018","RT @nauticope: 📢 Anota aí:

Enfrentaremos o ABC, no Frasqueirão, no domingo (26), às 15h30, pelas quartas de final da @CopaNordesteCBF. 👊🔴…",,pos,neg
"1,63911430993756E+018",RT @nauticope: Depois foi a vez de Souza fazer o dele e sacramentar a classificação alvirrubra. https://t.co/vGhKDav492,,pos,neu
"1,63911429564344E+018",RT @nauticope: O segundo foi a especialidade da casa: com assistência de Showza! E mais um de @Jael_Gol no jogo 👇 https://t.co/UHsrgidMKb,,pos,neg
"1,63911424726627E+018","RT @nauticope: 📢 Anota aí:

Enfrentaremos o ABC, no Frasqueirão, no domingo (26), às 15h30, pelas quartas de final da @CopaNordesteCBF. 👊🔴…",,pos,neg
"1,63911421410619E+018",RT @nauticope: Náutico entra com recurso no STJD contra torcida única em Natal-RN. Leia: https://t.co/5NnHM7SD5X https://t.co/Qr6cFXnu9I,,neg,neg
"1,63911418404979E+018",RT @nauticope: O CAPITA MANDOU O RECADO! Mais uma vitória e mais um vídeo de bastidores. Aqui é Náutico! Assista: https://t.co/VVpQV6woCG 🔥…,,pos,neu
"1,63911213827791E+018",RT @nauticope: O CAPITA MANDOU O RECADO! Mais uma vitória e mais um vídeo de bastidores. Aqui é Náutico! Assista: https://t.co/VVpQV6woCG 🔥…,,pos,neu
"1,63911107923294E+018","@NE45Minutos @SantaCruzFC @nauticope @sampaiocorrea Projeto inauguração da série E! Agora vai!!
Da sono só em olhar pra ele. Parece sempre estar cansado",,neg,neu
"1,63911004699401E+018",RT @nauticope: Náutico entra com recurso no STJD contra torcida única em Natal-RN. Leia: https://t.co/5NnHM7SD5X https://t.co/Qr6cFXnu9I,,neg,neg
"1,63910888533095E+018",@nauticope @paulopaivafoto Não aceitem torcida única contra o abc,,neg,neu
